Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street,Flinders La-Swanston St (West) Temporary
15/05/2019,8,964,641,849,1128,2248,4032,690,616,4071,600,149,394,-1,1442,772,930,2067,1789,228,168,344,2930,1550,4511,1310,566,214,1950,52,345,157,undefined,595,290,2476,789,111,2333,802,978,569,612,223,-1,276,1129,302,96,196,165,714,352,-1,406,3133,2333,423,-1
15/05/2019,9,934,674,751,1114,1491,2242,268,324,2781,434,52,196,-1,754,712,985,1431,993,197,182,363,2021,946,3030,871,570,139,1257,-1,323,176,undefined,487,239,1246,586,106,1727,783,963,566,729,226,-1,306,988,262,99,226,152,588,323,-1,406,1758,1727,404,-1
15/05/2019,10,1401,944,993,1594,1333,1204,139,203,896,263,33,127,-1,425,810,1010,828,503,304,276,510,1769,579,1755,755,624,116,925,-1,399,187,undefined,244,183,910,581,128,1163,535,886,659,560,204,-1,235,953,255,155,246,173,459,265,-1,420,692,1163,669,-1
15/05/2019,11,1958,1427,1286,2075,1536,1254,200,215,821,288,41,187,-1,473,1046,1231,802,451,518,514,664,2096,550,1627,700,636,169,1151,-1,688,244,undefined,195,136,1115,532,185,1211,577,1099,774,562,243,-1,296,1229,314,140,367,179,546,337,-1,426,582,1211,567,-1
15/05/2019,12,3105,2616,2257,3008,1931,2207,314,630,1546,476,146,452,-1,686,1578,2005,1621,665,1109,745,1341,2816,1141,2566,1024,1220,204,1532,-1,328,347,undefined,410,268,2244,992,253,1837,1374,1622,936,455,269,-1,416,1826,409,242,415,273,939,371,-1,823,1408,1837,870,-1
15/05/2019,13,3417,2789,2309,3183,1867,2120,345,585,1447,457,116,408,-1,710,1762,2145,1717,741,1205,759,1515,3287,1111,2516,1249,1091,222,1517,3,62,356,undefined,389,296,2107,1008,259,1782,1310,1586,977,455,286,-1,425,1994,392,235,399,295,1054,390,-1,833,1069,1782,698,-1
15/05/2019,14,2785,1929,2095,2779,2001,1969,282,311,1003,326,56,214,-1,641,1635,1648,925,556,959,424,1038,2849,683,2062,1055,788,217,1426,-1,39,299,undefined,293,184,1677,684,163,1237,630,1033,770,540,254,-1,355,1551,361,163,331,210,872,438,-1,571,611,1237,763,-1
15/05/2019,15,2602,1905,2161,2764,2119,2347,213,272,1448,363,41,218,-1,775,1685,1362,763,681,866,449,909,3148,631,2400,1206,668,162,1549,1,672,237,undefined,277,220,1564,630,135,1305,464,1058,836,753,306,-1,311,1593,250,142,355,181,690,452,-1,566,894,1305,445,-1
15/05/2019,16,2741,1898,2348,2879,2820,3353,326,439,3270,642,73,275,-1,1133,1834,1291,890,1073,937,526,1082,3668,930,3981,1291,691,187,2293,-1,831,302,undefined,464,272,1777,613,206,2049,652,1014,785,833,271,-1,269,1857,304,153,351,214,745,525,-1,626,1585,2049,480,-1
15/05/2019,17,3321,1960,2798,3267,3877,5260,619,750,4028,811,105,446,-1,1943,2371,1409,1397,1741,1227,715,1276,4875,1331,5072,1673,914,306,3075,-1,1081,330,undefined,631,378,3194,830,246,2584,780,1111,1050,1109,377,-1,378,2269,459,242,488,246,887,708,-1,904,2282,2584,319,-1
15/05/2019,18,2486,1209,2952,2520,2666,2939,401,441,1782,452,72,348,-1,1053,1954,844,690,838,1272,771,1166,3771,709,2794,1211,976,303,2054,-1,950,411,undefined,282,183,2376,516,251,1385,421,574,923,884,327,-1,288,1606,529,212,423,231,639,580,-1,677,885,1385,82,-1
15/05/2019,19,1304,603,2471,1718,1400,1513,162,206,583,186,62,311,-1,485,1491,538,312,294,1270,841,935,2629,299,1414,439,823,212,1163,-1,842,349,undefined,125,156,1330,284,212,714,176,294,489,576,213,-1,193,1176,389,174,437,170,528,376,-1,510,280,714,30,-1
15/05/2019,20,822,385,2119,1407,1111,1265,118,92,257,106,104,291,-1,379,1144,503,205,201,1044,559,840,2147,280,986,295,654,182,564,-1,735,367,undefined,103,120,1046,265,153,429,114,259,342,324,152,-1,160,905,300,170,376,137,384,263,-1,359,187,429,36,-1
15/05/2019,21,499,272,76,1185,1070,1011,70,136,131,49,70,229,-1,359,922,325,159,112,787,523,653,1709,193,718,316,463,120,571,-1,603,350,undefined,62,93,851,208,143,370,117,125,243,287,118,-1,97,588,189,100,317,94,298,180,-1,272,102,370,37,-1
15/05/2019,22,375,166,-1,653,927,829,43,56,123,47,30,144,-1,277,590,210,146,73,516,455,491,1181,120,565,251,251,63,760,-1,461,241,undefined,88,94,617,111,100,311,104,333,138,148,68,-1,118,398,85,92,203,77,152,166,-1,148,67,311,22,-1
15/05/2019,23,162,86,-1,729,511,565,16,49,59,31,12,50,-1,165,227,115,59,35,250,178,369,734,75,291,111,188,56,212,-1,304,131,undefined,27,26,316,50,31,190,78,62,73,88,45,-1,36,258,45,90,80,58,108,77,-1,73,39,190,13,-1
16/05/2019,0,70,50,-1,152,152,224,13,21,29,7,7,29,-1,89,85,42,25,9,130,62,209,328,39,125,59,157,26,53,-1,193,47,undefined,9,15,123,39,17,77,15,22,62,46,26,-1,17,129,28,84,42,34,67,34,-1,35,4,77,14,-1
16/05/2019,1,36,28,-1,51,63,74,12,9,17,-1,4,18,-1,16,55,15,13,2,73,41,130,161,18,31,38,111,11,15,-1,122,30,undefined,4,13,61,17,17,38,6,3,19,22,7,-1,5,68,11,52,20,9,48,33,-1,23,6,38,6,-1
16/05/2019,2,24,17,-1,31,39,45,4,1,13,-1,2,6,-1,20,44,11,7,9,30,40,65,130,16,27,58,60,12,13,-1,104,10,undefined,3,2,26,5,3,34,1,5,12,9,10,-1,2,39,10,35,7,15,22,5,-1,34,2,34,1,-1
16/05/2019,3,13,13,-1,56,38,29,4,2,5,1,1,5,-1,11,26,13,10,11,9,24,51,105,14,20,30,35,6,39,-1,58,15,undefined,3,-1,18,9,4,12,3,8,19,12,8,-1,3,32,10,34,4,7,8,6,-1,9,4,12,2,-1
16/05/2019,4,11,8,-1,19,53,66,2,7,12,2,3,10,-1,44,11,8,5,12,22,25,61,57,9,25,26,42,8,46,-1,21,21,undefined,6,9,22,6,11,20,14,6,3,3,3,-1,1,31,2,43,16,9,4,3,-1,14,6,20,1,-1
16/05/2019,5,43,20,-1,76,156,263,34,50,114,19,5,26,-1,109,45,28,93,50,15,15,45,181,64,347,65,73,21,100,-1,39,15,undefined,36,36,143,24,5,101,17,27,18,5,7,-1,9,97,21,27,4,5,21,10,-1,17,58,101,9,-1
16/05/2019,6,134,66,-1,207,510,1023,146,138,640,121,30,85,-1,321,102,205,271,211,66,28,112,706,274,1121,253,151,34,401,-1,77,46,undefined,104,57,734,92,18,354,121,93,68,33,35,-1,27,189,61,46,23,41,66,24,-1,100,446,354,17,-1
16/05/2019,7,426,245,-1,546,1204,2090,434,422,2315,346,54,210,-1,768,329,504,855,819,127,78,175,1453,766,2509,582,333,107,1011,-1,155,92,undefined,254,123,1263,282,52,1275,330,301,152,209,78,-1,77,537,169,97,74,70,227,118,-1,152,1644,1275,109,-1
16/05/2019,8,963,611,-1,1093,2328,4130,679,578,4486,621,90,398,-1,1472,722,972,2106,1849,263,189,336,2825,1567,4605,1054,726,196,1979,-1,403,164,undefined,604,289,2356,765,115,2512,842,1120,537,560,166,-1,246,1048,317,154,164,165,761,339,-1,422,3152,2512,552,-1
16/05/2019,9,1014,711,-1,1105,1430,2210,243,330,2736,462,55,218,-1,716,720,919,1344,922,238,193,364,2002,897,2813,880,789,163,1192,-1,307,151,undefined,427,231,1303,653,128,1600,785,1093,560,651,258,-1,250,942,311,194,225,143,541,276,-1,418,1733,1600,394,-1
16/05/2019,10,1238,894,-1,1441,1336,1256,156,204,974,345,47,259,-1,630,735,1114,827,574,434,195,502,1840,563,1808,784,919,200,1099,-1,393,200,undefined,296,227,1108,599,147,1128,525,1037,593,548,204,-1,275,770,380,260,240,152,501,302,-1,428,737,1128,587,-1
16/05/2019,11,1936,1204,-1,1765,1388,1262,131,226,787,325,63,205,-1,724,994,1296,840,499,586,388,618,2016,596,1647,756,1075,242,1146,-1,513,310,undefined,243,212,1130,559,180,1117,590,1150,738,569,240,-1,256,1066,518,295,302,223,584,302,-1,445,659,1117,583,-1
16/05/2019,12,3312,2505,-1,2899,2114,2197,270,683,1653,540,140,358,-1,689,1611,2123,1654,714,1155,746,1530,3124,1145,2395,1069,1674,297,1568,2,1016,457,undefined,380,311,2357,1116,221,1741,1567,1561,887,752,253,-1,461,2003,624,489,416,284,1060,409,-1,850,1536,1741,601,-1
16/05/2019,13,3500,2753,-1,3206,2271,2335,300,634,1546,512,139,397,-1,826,1871,2303,1803,773,1140,821,1503,3543,1096,2554,1290,1771,285,1700,3,1093,500,undefined,380,380,2500,1091,303,1743,1348,1531,1000,570,318,-1,433,1835,621,553,457,299,1027,539,-1,825,1322,1743,639,-1
16/05/2019,14,2935,2093,-1,2847,1970,2038,180,312,1058,350,52,222,-1,641,1612,1777,974,589,940,441,1075,2929,679,2175,1050,1130,272,1518,2,693,240,undefined,321,241,1669,684,211,1261,670,1200,791,476,299,-1,317,1561,530,263,361,200,822,385,-1,626,732,1261,590,-1
16/05/2019,15,2782,1854,943,2621,2144,2279,245,315,1528,407,60,264,-1,814,1702,1447,802,657,947,479,1103,3371,670,2638,1198,761,237,1556,-1,768,198,undefined,277,254,1601,532,176,1404,605,1117,794,547,296,-1,313,1766,437,145,347,187,728,472,-1,565,871,1404,417,-1
16/05/2019,16,3001,1997,2296,2869,2608,3311,326,438,3223,662,79,309,-1,1134,1778,1392,822,1060,917,462,993,3903,880,3939,1299,780,215,1893,-1,721,249,undefined,517,296,1897,690,165,2068,649,1004,830,667,267,-1,274,1965,332,146,414,200,757,478,-1,628,1657,2068,401,-1
16/05/2019,17,3545,2130,2889,3557,3690,5388,593,729,4108,931,121,469,-1,1871,2205,1504,1386,1650,1191,638,1274,4866,1260,5146,1686,888,256,2977,-1,951,330,undefined,676,403,3070,760,283,2598,707,1036,956,890,411,-1,291,2399,332,176,457,223,941,695,-1,838,2488,2598,234,-1
16/05/2019,18,2865,1535,2765,2759,2587,3087,534,400,1818,391,81,389,-1,1088,1858,997,741,804,1402,847,1214,3706,722,2743,1131,790,217,2055,-1,1090,399,undefined,327,277,2404,490,203,1414,398,613,633,699,279,-1,296,1699,272,172,609,187,812,570,-1,644,955,1414,57,-1
16/05/2019,19,1942,983,2246,1799,1590,1684,435,193,577,177,56,244,-1,587,1477,577,375,281,1324,726,1008,2897,340,1441,518,630,145,1332,-1,984,391,undefined,171,124,1422,293,235,729,171,349,423,454,168,-1,217,1156,183,112,477,165,600,381,-1,482,365,729,41,-1
16/05/2019,20,1369,610,2055,1457,1062,1280,108,116,280,109,57,222,-1,403,1308,387,209,151,1178,654,901,2262,246,926,492,537,157,572,-1,805,444,undefined,102,108,1009,158,218,469,96,235,291,299,122,-1,187,1016,173,155,352,135,513,226,-1,357,177,469,29,-1
16/05/2019,21,809,336,1705,1162,1414,1085,146,85,147,88,52,196,-1,340,999,371,141,122,880,474,812,2086,233,954,279,456,106,1153,-1,665,370,undefined,71,74,869,117,136,417,108,129,226,261,115,-1,116,830,146,107,329,100,355,201,-1,288,99,417,33,-1
16/05/2019,22,397,175,1092,661,762,842,364,62,142,43,31,127,-1,293,557,238,178,95,585,464,600,1492,189,638,276,335,64,459,-1,522,238,undefined,77,113,778,111,105,402,106,375,121,146,65,-1,84,424,110,97,223,86,195,107,-1,187,117,402,27,-1
16/05/2019,23,202,92,648,417,554,577,27,39,72,37,9,53,-1,225,248,102,56,61,360,211,367,907,80,389,189,211,43,301,-1,298,115,undefined,33,38,313,47,41,219,39,53,75,71,31,-1,43,262,53,75,94,69,135,73,-1,77,118,219,15,-1
17/05/2019,0,101,81,315,176,139,210,14,8,24,6,19,32,-1,89,101,68,19,19,123,147,285,364,58,113,39,156,22,68,-1,193,55,undefined,14,15,134,14,24,104,27,23,45,34,28,-1,38,165,31,75,18,38,50,50,-1,30,36,104,7,-1
17/05/2019,1,80,48,175,127,70,71,1,4,15,2,12,9,-1,19,59,60,23,17,78,83,207,231,30,45,38,99,10,47,-1,148,18,undefined,15,3,77,30,2,63,9,12,22,13,7,-1,13,110,5,89,6,22,54,22,-1,21,12,63,2,-1
17/05/2019,2,41,33,119,58,46,70,7,1,7,3,7,9,-1,18,51,17,7,8,54,79,197,117,15,44,33,111,6,38,-1,123,11,undefined,5,3,29,38,2,75,14,11,4,3,4,-1,9,60,21,56,3,14,17,10,-1,12,1,75,-1,-1
17/05/2019,3,46,16,101,48,71,27,2,3,6,3,6,8,-1,11,15,38,11,4,44,36,152,134,28,34,13,52,10,55,-1,45,18,undefined,3,5,13,22,4,18,2,7,2,4,-1,-1,7,36,10,38,2,15,22,7,-1,18,4,18,1,-1
17/05/2019,4,22,15,51,23,57,59,12,3,8,1,-1,1,-1,36,25,8,12,3,17,19,57,115,6,27,21,34,6,62,-1,33,14,undefined,10,5,39,18,11,29,6,4,7,4,2,-1,1,46,8,20,6,10,1,3,-1,9,7,29,-1,-1
17/05/2019,5,21,15,82,113,148,251,81,63,91,15,7,16,-1,90,28,38,101,39,25,40,40,190,46,360,81,80,18,125,-1,35,26,undefined,28,26,124,35,13,93,21,23,16,9,8,-1,10,88,17,26,13,15,24,11,-1,24,68,93,3,-1
17/05/2019,6,136,79,179,214,451,1002,157,121,545,96,15,64,-1,326,79,240,257,200,51,47,137,795,230,1107,229,158,50,415,-1,82,40,undefined,114,55,621,85,20,397,127,110,71,32,21,-1,23,208,69,35,26,46,68,16,-1,91,447,397,10,-1
17/05/2019,7,359,248,289,497,1118,1947,370,326,1935,342,49,202,-1,697,303,474,794,676,97,78,206,1416,735,2457,618,320,78,1057,-1,171,91,undefined,239,118,1110,244,65,1194,303,304,147,169,72,-1,76,514,151,75,69,79,189,81,-1,139,1592,1194,70,-1
17/05/2019,8,1032,569,751,1052,2175,4102,611,556,3830,572,81,368,-1,1403,676,902,1893,1598,260,174,390,2945,1373,4264,1022,713,232,1979,-1,380,164,undefined,594,282,2302,645,95,2199,810,1114,456,508,174,-1,256,1025,344,189,172,162,573,257,-1,424,3553,2199,385,-1
17/05/2019,9,1280,771,741,1203,1498,2473,280,337,2784,533,46,221,-1,827,765,1056,1501,1024,215,197,407,2305,998,2957,945,778,203,1377,-1,360,183,undefined,512,321,1463,624,137,1735,802,1128,591,699,206,-1,242,1070,341,213,270,157,536,285,-1,435,2392,1735,365,-1
17/05/2019,10,1605,1139,1077,1557,1294,1383,181,206,886,285,38,169,-1,809,770,1116,913,575,412,290,545,1883,613,1918,846,957,239,962,-1,364,207,undefined,289,210,1078,558,112,1172,608,1215,596,646,206,-1,150,1135,456,263,248,171,469,293,-1,409,797,1172,402,-1
17/05/2019,11,2159,1486,1449,2278,1729,1620,175,271,860,295,43,198,-1,575,973,1461,877,505,679,411,712,2281,651,1832,890,1181,273,1382,-1,623,226,undefined,310,272,1441,527,156,1122,671,1324,691,526,184,-1,282,1329,570,351,321,182,592,302,-1,416,660,1122,464,-1
17/05/2019,12,3643,2775,2413,3231,2286,2470,363,786,1745,574,138,493,-1,776,1727,2190,1657,651,1266,847,1605,3253,1309,2707,1357,1902,299,1729,-1,1180,434,undefined,411,386,2652,1212,297,1913,1385,1527,867,542,300,-1,423,2098,670,574,467,288,977,404,-1,865,1467,1913,589,-1
17/05/2019,13,4082,3102,2481,3458,2673,2576,326,821,1537,566,133,550,-1,794,1921,2259,1721,716,1378,857,1719,3694,1229,2701,1373,1867,273,1998,-1,1163,598,undefined,359,298,2675,1148,313,1850,1382,1632,936,676,331,-1,513,2424,738,516,492,291,1047,513,-1,1025,1291,1850,338,-1
17/05/2019,14,3380,2340,2168,3008,2336,2153,257,409,1059,285,71,338,-1,799,1724,1661,1038,625,1102,603,1154,3158,677,2301,1259,1317,244,1548,-1,844,321,undefined,320,273,2017,617,218,1264,626,1257,760,694,296,-1,336,1838,559,341,438,257,812,409,-1,601,727,1264,592,-1
17/05/2019,15,3222,2230,2260,2993,2376,2675,276,366,1533,350,73,294,-1,939,1800,1521,835,579,918,530,1029,3465,713,2766,1532,1113,232,1750,4,848,291,undefined,346,284,2109,581,181,1532,481,1218,735,738,276,-1,297,1864,575,286,372,207,758,455,-1,568,723,1532,382,-1
17/05/2019,16,3514,2404,2820,3266,2921,3767,372,529,3066,579,58,334,-1,1351,1941,1467,840,1130,1114,514,1097,4129,945,4038,1667,974,258,2007,-1,1009,300,undefined,510,390,2393,646,216,2137,520,1285,743,757,292,-1,215,2190,433,227,417,206,820,447,-1,641,1644,2137,374,-1
17/05/2019,17,4279,2701,3664,3914,3864,4943,575,709,3728,676,99,464,-1,1872,2590,1785,1197,1448,1526,838,1473,4900,1197,4699,2034,863,258,2467,-1,1432,415,undefined,569,400,3358,908,273,2610,733,1303,889,857,373,-1,291,2686,386,196,606,190,995,731,-1,896,1784,2610,194,-1
17/05/2019,18,3719,1963,3533,3422,3095,3096,370,381,1398,394,70,409,-1,1152,2302,1211,659,724,1795,1323,1590,3976,661,2753,1411,934,194,1904,-1,1559,486,undefined,316,260,2710,624,284,1533,455,792,537,566,248,-1,242,1915,333,175,700,223,933,518,-1,682,791,1533,66,-1
17/05/2019,19,2785,1392,3026,2542,2386,2072,281,244,515,183,75,329,-1,654,1851,847,353,318,1826,1379,1518,3165,369,1535,975,746,175,1870,-1,1493,622,undefined,157,164,2002,360,369,1008,251,408,309,372,261,-1,91,1528,246,192,728,177,853,293,-1,617,260,1008,47,-1
17/05/2019,20,2137,1012,2857,2169,1775,1768,88,145,312,136,100,352,-1,659,1708,597,279,132,1643,1335,1390,2631,312,1257,771,621,172,649,-1,1425,688,undefined,92,101,1528,272,342,662,124,212,216,256,115,-1,86,1538,270,152,587,154,717,259,-1,497,170,662,39,-1
17/05/2019,21,1375,605,2970,2312,1576,1607,346,147,260,98,70,274,-1,595,1558,452,231,123,1567,882,1183,2639,224,1012,703,545,130,703,-1,1305,687,undefined,123,138,1427,259,321,584,118,230,177,136,60,-1,70,1291,169,148,426,136,670,208,-1,439,115,584,34,-1
17/05/2019,22,734,348,2316,1630,1407,1424,108,74,195,74,34,152,-1,526,1123,349,190,142,1131,956,1065,2060,197,804,438,401,79,683,-1,1106,491,undefined,102,158,1292,449,205,501,96,441,110,115,43,-1,56,807,123,149,336,115,544,117,-1,342,170,501,29,-1
17/05/2019,23,501,244,1554,1155,1466,984,57,75,110,52,26,109,-1,428,593,251,119,82,675,485,881,1371,162,616,400,351,75,1115,-1,861,336,undefined,80,67,861,522,140,365,71,185,65,87,46,-1,30,620,105,140,145,83,444,77,-1,171,124,365,24,-1
18/05/2019,0,342,215,969,1173,557,630,23,31,38,17,15,65,-1,286,359,149,60,37,419,291,682,871,69,337,149,214,46,235,-1,691,175,undefined,47,44,348,300,44,268,44,66,53,89,64,-1,21,401,56,95,77,50,332,53,-1,136,40,268,6,-1
18/05/2019,1,164,165,618,516,219,407,11,19,30,5,6,25,-1,176,240,101,35,24,318,193,458,607,44,198,96,151,20,90,-1,470,63,undefined,35,26,258,310,40,130,18,39,39,51,41,-1,6,316,26,83,16,48,238,52,-1,81,24,130,7,-1
18/05/2019,2,113,104,406,319,136,210,3,10,20,9,2,11,-1,88,91,42,22,11,148,93,367,506,27,107,40,119,21,61,-1,298,30,undefined,11,12,88,269,20,80,14,20,13,8,9,-1,7,161,38,60,9,14,104,22,-1,50,12,80,4,-1
18/05/2019,3,91,85,308,173,91,125,15,5,10,5,1,9,-1,70,113,35,27,8,101,90,306,289,31,96,28,98,11,43,-1,230,16,undefined,17,17,60,241,12,54,7,13,13,3,7,-1,-1,133,20,43,16,11,99,18,-1,28,14,54,5,-1
18/05/2019,4,40,45,137,107,80,123,15,5,3,4,-1,10,-1,91,57,17,11,8,93,68,170,192,17,33,39,83,18,44,-1,115,24,undefined,6,6,28,96,3,44,4,4,2,-1,-1,-1,3,75,10,26,8,7,26,5,-1,7,5,44,5,-1
18/05/2019,5,35,33,103,88,109,157,8,15,22,8,1,7,-1,43,48,33,34,9,17,27,135,183,36,125,26,64,9,55,-1,95,26,undefined,5,9,55,22,19,44,11,5,10,5,4,-1,3,67,18,33,11,14,17,7,-1,11,17,44,2,-1
18/05/2019,6,46,36,78,92,132,227,61,40,51,10,10,19,-1,86,35,63,68,25,38,23,118,276,54,363,91,140,34,69,-1,49,29,undefined,25,20,198,16,5,123,28,50,19,9,6,-1,5,94,44,34,18,13,21,17,-1,22,38,123,4,-1
18/05/2019,7,125,96,197,218,270,414,84,77,76,43,15,61,-1,147,117,107,99,61,92,79,113,475,103,577,224,244,73,169,-1,123,47,undefined,47,30,405,49,20,264,83,148,30,21,14,-1,13,140,125,62,49,26,53,29,-1,74,79,264,26,-1
18/05/2019,8,395,204,347,501,535,530,111,139,123,73,36,153,-1,252,182,403,146,132,127,67,210,931,155,818,387,449,150,415,-1,180,88,undefined,104,82,577,108,68,358,130,612,103,90,66,-1,49,294,207,180,92,83,133,46,-1,142,102,358,53,-1
18/05/2019,9,845,586,506,914,855,893,216,203,144,77,41,198,-1,346,272,634,171,141,255,188,233,1466,222,1089,697,820,332,635,-1,331,121,undefined,149,115,850,158,124,668,159,722,126,121,89,-1,60,701,441,316,242,156,339,89,-1,261,77,668,101,-1
18/05/2019,10,1613,1237,886,1718,1429,1216,234,268,191,119,57,355,-1,497,572,881,301,167,462,248,395,1834,298,1197,799,1261,403,994,-1,420,201,undefined,161,175,1243,256,142,927,186,785,150,177,109,-1,110,985,585,457,326,192,453,117,-1,418,158,927,116,-1
18/05/2019,11,2688,1951,1333,2376,2519,1530,511,336,199,135,97,393,-1,659,822,1157,327,214,897,462,615,2326,301,1471,1138,1556,464,1884,-1,668,341,undefined,150,213,1804,243,200,997,194,872,209,193,138,-1,119,1433,779,640,419,233,547,132,-1,552,176,997,152,-1
18/05/2019,12,3114,2127,2005,2795,2635,1670,1663,386,160,89,102,438,-1,673,1293,1272,342,249,1331,687,1038,2633,302,1652,1262,1823,461,2048,-1,867,551,undefined,228,266,2378,265,306,1001,158,943,228,169,162,-1,156,1729,968,725,550,273,735,156,-1,632,200,1001,127,-1
18/05/2019,13,3502,2367,2462,3094,2981,1821,2171,350,229,78,153,460,-1,821,1519,1411,373,263,1641,847,1153,3180,300,1445,1568,1898,437,2241,2,985,375,undefined,242,271,2527,238,230,952,179,998,286,273,164,-1,201,1881,933,625,592,338,776,217,-1,733,181,952,166,-1
18/05/2019,14,3926,2552,2607,3260,3161,2147,493,386,218,95,130,463,-1,770,1671,1433,328,220,1492,651,1155,3106,287,1521,1728,1734,388,1688,2,1070,434,undefined,191,261,2532,271,245,902,175,808,287,276,163,-1,194,2009,896,498,625,294,766,255,-1,638,208,902,201,-1
18/05/2019,15,4026,2886,2645,3296,3659,2136,520,385,179,129,168,574,-1,848,1753,1343,313,196,1459,712,1199,3446,290,1561,1813,1459,274,2743,-1,1076,364,undefined,177,224,2682,269,298,978,156,850,210,233,145,-1,137,2142,756,339,605,231,696,245,-1,662,238,978,179,-1
18/05/2019,16,3978,2748,2631,3333,3580,2499,3553,378,227,148,118,484,-1,1005,1774,1200,498,234,1431,722,1180,3554,326,1708,1875,751,177,2048,-1,1171,334,undefined,391,526,3084,297,259,1177,150,975,236,233,168,-1,142,2000,415,199,578,187,707,248,-1,511,592,1177,183,-1
18/05/2019,17,3686,2169,2908,3234,3679,2384,931,410,256,199,118,620,-1,839,1926,1017,502,173,1664,1028,1426,3692,442,1885,1805,767,247,1829,6,1420,492,undefined,291,341,3150,270,256,1337,201,854,235,268,153,-1,171,2014,361,160,615,169,842,299,-1,614,833,1337,74,-1
18/05/2019,18,2863,1286,2917,2531,2915,1981,182,361,323,174,127,1012,-1,696,1671,737,379,174,1886,1256,1486,3025,382,1913,1525,713,167,2087,-1,1522,803,undefined,214,212,2645,236,435,1636,262,654,208,195,126,-1,154,1605,290,180,671,151,697,292,-1,616,3309,1636,26,-1
18/05/2019,19,2078,801,3097,2220,2524,1569,99,126,144,101,119,630,-1,610,1634,401,282,131,1817,1244,1519,2529,276,1186,709,662,163,1818,-1,1558,913,undefined,99,139,2446,201,472,967,153,368,188,154,72,-1,116,1530,237,163,712,181,674,232,-1,492,1760,967,10,-1
18/05/2019,20,1160,533,2670,1745,1839,1577,68,106,104,70,98,355,-1,604,1510,390,262,72,1630,1082,1302,2240,239,900,491,510,141,753,-1,1290,953,undefined,118,126,2168,257,487,623,79,242,92,92,49,-1,82,1100,201,157,498,132,650,198,-1,404,256,623,27,-1
18/05/2019,21,742,361,2342,1471,2283,1194,70,77,66,85,66,296,-1,530,1280,378,217,71,1236,920,1171,2111,218,836,484,481,180,1382,-1,1216,884,undefined,64,123,1596,289,377,579,126,182,116,99,54,-1,64,889,196,113,483,105,607,146,-1,305,1897,579,17,-1
18/05/2019,22,848,391,1881,1247,1914,1312,60,221,186,178,63,630,-1,538,904,373,174,99,1049,962,1119,2012,357,1632,584,351,115,1156,-1,1162,593,undefined,86,219,1425,293,235,1692,101,403,81,95,48,-1,46,687,157,127,424,115,583,101,-1,272,3098,1692,17,-1
18/05/2019,23,391,221,1490,779,1202,1047,41,57,61,68,41,169,-1,480,555,288,102,74,600,1192,947,1631,193,713,391,323,96,419,-1,846,354,undefined,82,87,979,420,124,664,97,196,63,89,40,-1,49,508,130,129,151,60,485,92,-1,230,283,664,11,-1
19/05/2019,0,265,195,909,586,636,747,26,56,40,40,17,95,-1,347,316,181,74,46,512,667,743,979,124,410,212,233,44,164,-1,645,271,undefined,63,47,538,244,70,378,56,81,64,59,43,-1,19,364,74,148,86,107,462,66,-1,172,116,378,6,-1
19/05/2019,1,142,136,719,402,287,438,10,12,25,15,10,44,-1,220,175,113,38,21,319,211,642,711,52,283,171,201,34,94,-1,580,127,undefined,18,35,282,201,57,216,37,46,21,35,21,-1,13,270,51,123,24,29,277,37,-1,92,33,216,3,-1
19/05/2019,2,105,106,486,286,139,275,5,7,21,25,-1,12,-1,185,111,95,26,17,191,166,487,626,69,173,59,145,17,63,-1,353,88,undefined,11,16,163,177,31,150,17,26,16,14,10,-1,8,195,23,60,11,32,153,33,-1,61,24,150,5,-1
19/05/2019,3,88,83,406,255,141,189,12,6,9,18,-1,12,-1,131,88,67,14,14,136,106,360,548,42,118,39,103,17,54,-1,316,37,undefined,6,10,69,160,27,88,8,26,14,7,6,-1,4,127,24,53,13,25,136,15,-1,35,26,88,6,-1
