Date,Hour,Bourke Street Mall (North),Bourke Street Mall (South),Melbourne Central,Town Hall (West),Princes Bridge,Flinders Street Station Underpass,Birrarung Marr,Webb Bridge,Southern Cross Station,Victoria Point,Waterfront City,New Quay,Flagstaff Station,Sandridge Bridge,State Library,Collins St (North),Collins Place (South),Collins Place (North),Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),Bourke St-Russell St (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (South),Spencer St-Collins St (North),Melbourne Convention Exhibition Centre,QV Market-Elizabeth St (West),QV Market-Peel St,The Arts Centre,St Kilda Rd-Alexandra Gardens,Lonsdale St (South),Lygon St (West),City Square,Flinders St-Spring St (West),Flinders St-Spark La,Southbank,Queen St (West),Lygon St (East),Flinders St-Swanston St (West),Alfred Place,Lonsdale St-Spring St (West),Grattan St-Swanston St (West),Monash Rd-Swanston St (West),Tin Alley-Swanston St (West),Little Collins St-Swanston St (East),Flinders La-Swanston St (West),Pelham St (South),Melbourne Central-Elizabeth St (East),QVM-Queen St (East),QVM-Therry St (South),Faraday St-Lygon St (West),QVM-Franklin St (North),Elizabeth St-Lonsdale St (South),Lincoln-Swanston (W),Elizabeth St-La Trobe St (East),Lonsdale St - Elizabeth St (North),Bourke St Bridge,Bourke St - Spencer St (North),RMIT Bld 80 - 445 Swanston Street
03/02/2019,19,1059,544,-1,1421,836,1279,-1,153,94,44,202,520,-1,478,1111,267,189,83,1160,767,1082,-1,164,799,533,371,113,565,1024,683,715,undefined,86,56,1884,136,237,457,102,158,174,62,19,-1,-1,28,1116,179,140,388,162,358,99,-1,389,188,457,undefined
03/02/2019,20,638,390,-1,1246,837,1307,-1,128,82,39,217,628,-1,510,940,317,162,71,974,841,985,-1,181,760,541,376,86,476,971,702,733,undefined,54,62,2264,126,253,394,57,101,101,43,24,-1,-1,33,756,146,133,454,140,364,108,-1,266,160,394,undefined
03/02/2019,21,487,274,-1,757,757,1214,-1,105,70,57,186,500,-1,401,730,189,147,52,858,553,785,-1,154,629,391,378,94,383,770,632,599,undefined,27,41,1736,72,205,370,71,88,93,32,14,-1,-1,43,617,116,138,277,84,279,67,-1,231,207,370,undefined
03/02/2019,22,266,177,-1,519,469,848,-1,53,54,51,114,292,-1,366,387,137,109,58,446,341,506,-1,127,479,256,237,70,173,382,402,403,undefined,26,46,947,50,86,285,61,56,64,22,10,-1,-1,11,426,93,70,115,89,206,38,-1,158,182,285,undefined
03/02/2019,23,146,94,-1,269,313,563,-1,33,43,18,29,109,-1,251,227,61,31,14,241,172,389,-1,56,266,102,153,45,85,196,323,134,undefined,10,16,399,47,37,217,45,30,31,10,6,-1,-1,15,246,48,76,55,52,142,16,-1,69,102,217,undefined
04/02/2019,0,99,46,-1,127,156,264,-1,32,25,10,14,29,-1,89,96,46,27,5,143,99,228,-1,54,133,40,145,17,65,104,203,75,undefined,3,9,202,11,23,119,16,21,35,4,4,-1,-1,7,133,26,67,21,34,49,1,-1,71,42,119,undefined
04/02/2019,1,30,32,-1,81,25,70,-1,12,5,8,7,22,-1,23,34,30,15,3,55,70,104,-1,22,52,33,94,11,35,48,144,31,undefined,3,1,95,5,8,54,4,13,11,1,2,-1,-1,4,43,21,36,6,22,40,2,-1,20,38,54,undefined
04/02/2019,2,31,13,-1,30,19,47,-1,4,5,-1,1,8,-1,11,36,10,10,10,44,56,71,-1,14,18,25,52,4,20,27,65,10,undefined,2,3,25,7,7,38,6,7,6,-1,1,-1,-1,-1,51,9,48,1,17,15,4,-1,4,30,38,undefined
04/02/2019,3,23,9,-1,22,18,15,-1,8,3,1,5,4,-1,3,13,11,6,2,25,25,49,-1,6,16,60,27,3,46,19,57,9,undefined,-1,2,17,9,1,7,3,8,13,-1,-1,-1,-1,-1,53,2,25,2,25,15,-1,-1,10,5,7,undefined
04/02/2019,4,4,16,-1,33,19,48,-1,7,8,3,2,6,-1,31,24,3,9,8,17,16,30,-1,2,29,49,27,7,56,30,31,6,undefined,4,3,20,5,5,16,12,11,10,-1,1,-1,-1,2,25,6,30,4,6,18,2,-1,9,10,16,undefined
04/02/2019,5,28,27,-1,101,33,235,-1,47,119,23,4,23,-1,107,33,41,34,25,17,27,45,-1,56,303,64,49,7,103,94,68,24,undefined,16,15,179,26,14,113,40,26,14,6,2,-1,-1,3,95,12,17,8,27,24,9,-1,6,93,113,undefined
04/02/2019,6,100,98,-1,197,69,930,-1,155,640,83,35,99,-1,278,106,152,193,196,59,32,99,-1,301,1017,254,129,13,342,350,69,50,undefined,68,45,891,73,11,507,94,100,64,25,29,-1,-1,24,194,21,34,23,34,51,24,-1,57,434,507,undefined
04/02/2019,7,412,250,-1,521,157,1708,-1,458,2130,280,59,238,-1,688,322,473,778,835,125,109,171,-1,496,2518,693,214,87,708,890,125,92,undefined,264,86,1446,261,36,1725,360,298,131,30,53,-1,-1,60,501,153,51,80,72,195,70,-1,154,1642,1725,undefined
04/02/2019,8,731,636,-1,936,365,4069,-1,607,4269,515,110,462,-1,1488,703,919,2224,1851,231,141,357,-1,1063,4535,946,534,168,1288,1545,369,121,undefined,436,184,2719,761,99,3124,868,711,405,122,128,-1,-1,153,1146,243,109,153,158,769,178,-1,486,3724,3124,undefined
04/02/2019,9,831,740,-1,1075,296,2049,-1,313,2615,401,59,296,-1,788,705,865,1366,1020,198,195,387,-1,931,3109,706,473,128,766,893,286,130,undefined,348,180,1444,572,112,1958,734,545,339,135,103,-1,-1,148,951,192,77,172,112,539,203,-1,408,2350,1958,undefined
04/02/2019,10,1206,943,-1,1455,304,1223,-1,185,913,227,48,211,-1,406,690,1309,804,539,421,319,562,-1,576,1756,585,640,94,703,777,364,164,undefined,169,175,1102,545,122,1089,467,539,327,65,79,-1,-1,99,979,224,118,251,159,488,140,-1,458,969,1089,undefined
04/02/2019,11,1548,1500,-1,1979,453,1266,-1,228,741,169,88,263,-1,372,913,1309,737,461,711,458,805,-1,619,1836,553,616,94,884,1036,512,186,undefined,195,109,1485,550,164,1026,473,446,485,188,63,-1,-1,133,1309,250,145,368,155,530,185,-1,450,814,1026,undefined
04/02/2019,12,2341,2750,-1,3027,658,2018,-1,631,1520,402,125,534,-1,547,1486,2010,1810,648,1202,959,1609,-1,1150,2390,954,1062,185,1216,1397,1001,323,undefined,305,167,2495,1097,322,1566,1167,823,519,284,92,-1,-1,235,2053,311,260,390,266,940,232,-1,862,1973,1566,undefined
04/02/2019,13,2320,2936,-1,3260,646,2084,-1,505,1298,375,137,493,-1,627,1577,2062,1628,675,1209,831,1547,-1,987,2342,907,1028,182,1234,1638,1042,311,undefined,346,136,2430,959,333,1582,1169,836,600,353,87,-1,-1,273,2004,366,202,450,252,1063,239,-1,897,1510,1582,undefined
04/02/2019,14,2100,2182,-1,2693,707,1942,-1,314,923,232,100,325,-1,698,1415,1581,879,547,1133,654,1193,-1,605,2039,1098,694,183,1270,1574,784,240,undefined,274,67,1952,698,216,1191,520,578,422,294,54,-1,-1,149,1672,302,150,443,226,923,194,-1,606,939,1191,undefined
04/02/2019,15,1797,2116,-1,2803,685,2257,-1,281,1364,324,74,342,-1,767,1510,1425,797,498,1085,610,1061,-1,606,2395,1085,597,178,1385,1619,757,242,undefined,248,47,1754,580,210,1383,350,478,429,266,64,-1,-1,143,1755,292,140,392,149,794,191,-1,577,1096,1383,undefined
04/02/2019,16,1822,2076,-1,2830,726,2967,-1,429,2879,538,83,370,-1,1056,1578,1314,842,1069,1149,577,1159,-1,880,3697,1191,610,180,1617,1752,781,221,undefined,449,79,2116,557,193,1889,438,468,505,659,289,-1,-1,143,1851,267,134,366,147,719,240,-1,593,2223,1889,undefined
04/02/2019,17,2092,1967,-1,2993,940,5233,-1,713,3932,607,132,516,-1,1980,1932,1300,1410,1963,1317,991,1349,-1,1249,5015,1519,635,230,2255,2396,914,349,undefined,618,133,3733,758,228,2717,706,488,512,469,135,-1,-1,133,2273,330,124,484,174,836,311,-1,833,3055,2717,undefined
04/02/2019,18,1624,1307,-1,2323,1030,2836,-1,437,1571,279,134,503,-1,1057,1517,715,681,796,1608,1534,1413,-1,591,2674,1035,627,197,1303,1602,1039,388,undefined,241,81,2795,399,198,1388,386,304,254,174,90,-1,-1,81,1669,245,90,548,157,579,185,-1,534,1095,1388,undefined
04/02/2019,19,1107,634,-1,1761,1022,1739,-1,202,494,111,84,355,-1,640,1241,467,334,240,1559,1348,1277,-1,352,1297,478,469,134,1502,1500,969,466,undefined,114,51,2579,198,150,723,178,198,190,143,90,-1,-1,63,1125,188,74,438,150,407,144,-1,374,382,723,undefined
04/02/2019,20,618,436,-1,1314,800,1516,-1,157,171,81,179,458,-1,608,965,282,284,106,1428,1349,1129,-1,219,917,396,420,82,381,649,801,386,undefined,79,42,2440,206,234,431,134,172,112,43,36,-1,-1,54,887,123,89,401,112,339,101,-1,349,230,431,undefined
04/02/2019,21,457,322,-1,882,773,1464,-1,101,124,48,118,296,-1,562,737,328,175,83,1225,1127,784,-1,183,803,362,353,134,322,487,677,379,undefined,48,49,1736,163,146,466,116,96,97,29,28,-1,-1,40,682,176,79,321,123,292,75,-1,235,116,466,undefined
04/02/2019,22,371,185,-1,609,468,970,-1,51,106,49,95,248,-1,333,510,175,84,55,919,915,565,-1,188,525,244,256,63,1257,601,510,197,undefined,29,30,1145,71,109,340,73,95,100,15,13,-1,-1,21,481,114,72,204,84,168,68,-1,136,119,340,undefined
04/02/2019,23,149,83,-1,249,244,553,-1,24,45,24,50,116,-1,241,238,101,72,36,458,377,371,-1,45,323,132,165,40,94,120,325,75,undefined,14,12,390,31,44,188,48,76,79,2,10,-1,-1,8,284,45,68,66,55,103,23,-1,54,56,188,undefined
05/02/2019,0,77,80,-1,123,103,198,-1,12,24,13,51,95,-1,98,128,40,13,11,313,137,274,-1,40,132,67,109,14,51,55,172,48,undefined,9,4,134,20,17,92,13,31,73,2,2,-1,-1,17,151,31,46,18,44,45,2,-1,45,26,92,undefined
05/02/2019,1,48,72,-1,63,35,97,-1,11,9,5,6,15,-1,28,67,45,21,9,103,85,133,-1,14,20,47,69,15,14,41,97,20,undefined,3,-1,61,18,8,68,10,8,36,3,5,-1,-1,2,89,16,37,8,25,23,-1,-1,28,14,68,undefined
05/02/2019,2,20,27,-1,30,25,30,-1,6,8,-1,3,3,-1,13,32,31,6,8,59,54,56,-1,19,25,34,45,12,16,17,93,7,undefined,3,4,32,7,2,46,8,9,52,-1,1,-1,-1,4,41,14,16,5,11,38,-1,-1,28,6,46,undefined
05/02/2019,3,17,14,-1,21,16,48,-1,2,2,1,3,4,-1,7,12,19,5,5,22,32,55,-1,3,33,29,34,4,31,12,73,9,undefined,6,4,16,2,2,9,6,7,74,-1,-1,-1,-1,7,52,6,16,3,4,24,1,-1,15,5,9,undefined
05/02/2019,4,13,52,-1,35,20,60,-1,4,8,1,3,9,-1,45,13,4,15,3,40,72,43,-1,5,30,22,26,4,70,15,39,18,undefined,4,4,35,10,7,17,8,5,76,1,3,-1,-1,4,45,10,15,8,21,6,7,-1,7,6,17,undefined
05/02/2019,5,45,45,-1,108,33,268,-1,55,122,23,6,21,-1,121,66,29,75,41,15,53,51,-1,73,287,67,78,15,97,57,33,17,undefined,20,23,188,29,7,118,39,28,47,4,4,-1,-1,3,75,17,20,33,12,22,6,-1,8,86,118,undefined
05/02/2019,6,110,85,-1,205,85,920,-1,159,728,87,30,96,-1,291,92,169,204,150,60,24,88,-1,324,1092,270,179,32,311,381,43,39,undefined,95,73,927,83,10,404,114,114,76,36,35,-1,-1,21,207,52,44,27,48,47,24,-1,51,394,404,undefined
05/02/2019,7,331,258,-1,464,195,1936,-1,447,2379,312,43,237,-1,786,348,447,904,803,133,91,183,-1,736,2306,660,316,84,699,891,140,70,undefined,227,129,1459,257,52,1300,384,277,144,67,79,-1,-1,56,582,206,73,80,77,210,88,-1,180,1571,1300,undefined
05/02/2019,8,854,633,-1,1020,344,4217,-1,613,4579,658,99,408,-1,1486,723,936,2218,1843,187,169,333,-1,1450,4379,956,678,198,1275,1510,451,120,undefined,511,281,2631,760,124,2448,815,782,327,213,192,-1,-1,128,1130,335,168,135,138,743,151,-1,442,3528,2448,undefined
05/02/2019,9,877,643,-1,1051,351,2140,-1,328,2689,497,52,255,-1,775,649,1237,1394,1028,194,159,353,-1,922,2681,585,713,181,787,836,259,126,undefined,425,195,1504,566,98,1621,730,580,427,228,110,-1,-1,149,941,293,163,186,142,519,271,-1,430,2213,1621,undefined
05/02/2019,10,1161,984,-1,1404,403,1312,-1,177,1014,293,26,184,-1,479,679,1152,776,509,418,291,468,-1,524,1616,507,842,166,729,981,345,110,undefined,262,261,1357,530,128,1102,545,596,226,108,111,-1,-1,105,1077,409,249,235,174,468,86,-1,417,1045,1102,undefined
05/02/2019,11,1791,1508,-1,2116,530,1403,-1,251,861,262,57,219,-1,533,821,1356,804,435,807,607,783,-1,539,1634,564,1132,208,946,1126,532,174,undefined,175,187,1620,521,174,1103,454,443,348,112,123,-1,-1,131,1408,419,275,321,251,556,120,-1,464,833,1103,undefined
05/02/2019,12,2733,2774,-1,3225,664,2078,-1,626,1663,452,135,465,-1,665,1367,2111,1716,660,1429,1198,1503,-1,981,2511,975,1746,313,1324,1484,1043,243,undefined,312,363,2928,1076,280,1627,1214,932,547,156,148,-1,-1,208,2057,644,456,473,286,1067,265,-1,890,1900,1627,undefined
05/02/2019,13,3017,2871,-1,3477,765,2246,-1,484,1477,331,168,483,-1,720,1395,2144,1647,645,1466,1249,1520,-1,1032,2583,1013,1629,344,1293,1756,1001,302,undefined,271,323,2937,988,337,1672,1227,885,537,190,163,-1,-1,233,2131,812,492,437,276,999,236,-1,906,1603,1672,undefined
05/02/2019,14,2433,2150,-1,3011,833,1954,-1,245,972,227,62,253,-1,614,1402,1634,958,534,1298,852,1342,-1,617,2132,921,1139,210,1377,1626,758,260,undefined,214,273,2098,659,191,1150,543,510,436,275,333,-1,-1,117,1658,517,246,406,253,867,223,-1,638,1085,1150,undefined
05/02/2019,15,2940,2183,-1,2968,793,2287,-1,258,1429,302,67,241,-1,738,1514,1472,739,575,1389,493,1173,-1,546,2687,1099,724,191,1541,1504,816,210,undefined,266,279,2058,581,196,1326,381,510,394,127,153,-1,-1,121,1720,427,159,340,174,657,226,-1,549,1261,1326,undefined
05/02/2019,16,3011,2108,-1,2851,874,3372,-1,457,3257,648,101,231,-1,1165,1535,1528,827,1138,1137,428,1138,-1,842,3968,1164,743,161,1704,1959,836,282,undefined,481,293,2617,608,168,2044,492,480,480,224,266,-1,-1,154,1913,312,139,381,157,685,343,-1,559,2619,2044,undefined
05/02/2019,17,3438,2028,-1,3224,1290,5272,-1,763,4187,908,101,426,-1,1926,1973,1471,1353,1930,1312,658,1298,-1,1482,5049,1436,761,234,2732,2744,923,349,undefined,711,467,3840,840,208,2644,745,552,511,270,327,-1,-1,250,2532,315,159,476,236,936,390,-1,774,3885,2644,undefined
05/02/2019,18,2720,1483,-1,2626,1199,3143,-1,472,1883,384,130,497,-1,1238,1674,954,798,829,1601,1061,1467,-1,765,2935,1198,692,198,1926,2196,901,376,undefined,356,437,3237,492,182,1378,519,416,313,291,216,-1,-1,102,1662,285,124,512,227,610,307,-1,635,1503,1378,undefined
05/02/2019,19,1652,855,-1,1859,1013,1873,-1,281,612,165,151,404,-1,738,1281,439,346,293,1459,1290,1242,-1,320,1559,655,538,145,1888,1854,952,438,undefined,190,236,2448,293,221,652,190,215,205,124,145,-1,-1,67,1384,196,112,510,171,497,222,-1,426,562,652,undefined
05/02/2019,20,996,548,-1,1498,875,1691,-1,206,239,93,368,701,-1,612,1230,420,246,140,1402,1506,1158,-1,210,1004,601,504,115,732,798,917,546,undefined,114,133,2320,228,224,546,124,149,135,200,90,-1,-1,47,1038,153,119,392,143,542,194,-1,461,300,546,undefined
05/02/2019,21,748,346,-1,883,777,1336,-1,136,200,80,161,507,-1,593,899,390,167,140,1211,1079,885,-1,212,895,467,414,92,944,749,762,928,undefined,78,129,1945,205,248,459,118,165,85,58,53,-1,-1,55,839,181,105,397,82,356,119,-1,265,237,459,undefined
05/02/2019,22,389,197,-1,495,675,1206,-1,86,117,58,81,259,-1,492,510,244,176,108,695,700,641,-1,142,546,320,324,82,1488,911,530,354,undefined,147,271,1645,111,157,416,97,123,202,40,37,-1,-1,31,512,98,86,209,104,229,74,-1,148,174,416,undefined
05/02/2019,23,243,129,-1,430,379,687,-1,40,75,19,48,112,-1,310,251,106,41,57,389,407,528,-1,100,335,211,205,35,237,235,362,155,undefined,72,107,1023,68,43,268,48,62,22,11,8,-1,-1,13,337,43,62,66,87,136,73,-1,73,83,268,undefined
06/02/2019,0,89,49,-1,146,116,304,-1,15,26,10,13,40,-1,90,113,66,29,18,203,155,245,-1,47,183,69,130,24,87,73,227,37,undefined,21,38,242,23,11,116,25,28,22,2,2,-1,-1,5,170,39,69,16,36,77,12,-1,62,42,116,undefined
06/02/2019,1,48,35,-1,84,39,129,-1,6,20,6,6,10,-1,33,44,10,23,9,59,65,167,-1,25,33,54,75,8,21,35,111,50,undefined,4,6,109,19,6,62,18,13,8,-1,1,-1,-1,2,84,22,37,7,29,46,1,-1,33,19,62,undefined
06/02/2019,2,31,17,-1,31,35,35,-1,5,13,2,-1,6,-1,19,31,15,5,3,41,52,95,-1,7,37,22,68,-1,37,23,76,9,undefined,2,7,50,8,5,25,6,2,-1,-1,-1,-1,-1,3,46,3,25,3,12,28,-1,-1,8,5,25,undefined
06/02/2019,3,15,18,-1,21,11,52,-1,4,3,6,1,6,-1,16,13,12,17,6,26,37,52,-1,11,20,12,43,3,42,5,38,6,undefined,5,1,22,3,8,25,7,3,1,-1,-1,-1,-1,2,35,4,28,3,6,15,2,-1,7,10,25,undefined
06/02/2019,4,11,20,-1,32,27,46,-1,6,15,3,-1,6,-1,38,13,11,3,2,17,16,40,-1,18,36,71,42,12,79,15,25,15,undefined,7,5,49,13,15,25,17,7,11,2,3,-1,-1,3,43,16,15,13,8,4,8,-1,13,15,25,undefined
06/02/2019,5,37,20,-1,85,34,267,-1,55,124,27,11,23,-1,94,27,42,78,42,26,41,46,-1,60,325,78,63,10,96,58,32,6,undefined,19,38,180,27,2,95,21,26,6,5,2,-1,-1,5,97,17,39,7,7,17,11,-1,13,109,95,undefined
06/02/2019,6,124,90,-1,218,88,934,-1,167,676,67,45,117,-1,326,82,141,240,177,40,33,117,-1,299,1118,347,119,27,404,371,63,36,undefined,97,77,993,96,7,356,97,95,48,31,23,-1,-1,16,231,46,47,26,50,57,39,-1,45,418,356,undefined
06/02/2019,7,371,232,-1,505,175,1835,-1,437,2297,330,72,276,-1,741,326,453,820,826,110,110,221,-1,829,2526,662,284,97,823,960,140,84,undefined,271,169,1593,289,66,1219,390,291,141,108,58,-1,-1,56,627,148,72,68,72,251,118,-1,170,1687,1219,undefined
06/02/2019,8,874,708,-1,1030,352,3998,-1,574,4242,622,88,361,-1,1434,733,889,2159,1828,231,147,384,-1,1591,4729,953,593,164,1513,1678,474,137,undefined,622,307,3174,729,107,2328,835,725,335,300,150,-1,-1,163,1172,286,75,162,138,755,223,-1,450,4201,2328,undefined
06/02/2019,9,1070,765,-1,1035,302,2104,-1,288,2364,489,35,231,-1,722,668,936,1500,982,255,209,346,-1,927,2960,554,528,136,908,961,332,141,undefined,430,207,1774,573,129,1686,788,561,403,298,210,-1,-1,135,1010,264,104,195,188,550,185,-1,451,2801,1686,undefined
06/02/2019,10,1336,1212,-1,1490,439,1254,-1,184,867,239,31,169,-1,439,805,1054,809,565,384,317,496,-1,642,1864,483,590,165,875,1029,355,133,undefined,294,217,1294,547,135,1008,583,516,317,170,115,-1,-1,128,1122,324,145,279,200,407,109,-1,427,1216,1008,undefined
06/02/2019,11,1956,1520,-1,2097,604,1393,-1,270,804,269,37,241,-1,399,795,1304,711,458,623,346,700,-1,667,1859,569,716,166,1432,1401,584,166,undefined,248,126,1587,510,196,1124,474,534,445,222,117,-1,-1,121,1315,342,145,275,190,574,172,-1,588,1006,1124,undefined
06/02/2019,12,3163,2689,-1,3007,789,2095,-1,567,1694,525,79,295,-1,585,1404,2104,1698,642,1269,756,1311,-1,1160,2553,753,1151,199,2215,1710,998,270,undefined,382,351,2568,1161,325,1700,1241,1005,476,356,136,-1,-1,261,1990,433,191,463,310,909,236,-1,796,2224,1700,undefined
06/02/2019,13,3260,2854,-1,3304,694,2172,-1,499,1510,422,72,296,-1,537,1458,2124,1723,699,1199,663,1296,-1,1099,2653,804,1012,182,1435,1619,962,308,undefined,356,315,2290,892,326,1759,1190,1032,528,436,243,-1,-1,242,2057,359,177,401,257,931,251,-1,952,1936,1759,undefined
06/02/2019,14,2403,2072,-1,2802,682,1901,-1,237,1028,281,59,189,-1,457,1250,1603,960,546,1061,436,949,-1,595,2183,650,644,136,1334,1246,557,230,undefined,242,249,1624,724,219,1246,564,558,328,287,119,-1,-1,112,1510,296,129,350,199,691,168,-1,681,1034,1246,undefined
06/02/2019,15,2698,1711,-1,2703,642,2196,-1,215,1462,343,19,117,-1,636,1213,1329,723,629,1082,356,826,-1,588,2644,749,672,164,2333,1702,649,181,undefined,299,235,1521,582,187,1332,391,560,374,301,155,-1,-1,139,1480,331,108,299,185,563,216,-1,518,1342,1332,undefined
06/02/2019,16,2418,1815,-1,2860,739,2951,-1,384,3123,647,45,199,-1,988,1383,1429,877,1116,912,431,842,-1,832,3796,1063,812,177,1687,1718,630,253,undefined,465,235,1933,530,176,1987,503,520,465,527,215,-1,-1,160,1602,431,175,357,189,685,249,-1,547,2807,1987,undefined
06/02/2019,17,2561,2051,-1,3147,1048,5065,-1,694,4109,830,94,452,-1,1915,1932,1482,1386,1805,1043,711,1044,-1,1327,5020,1412,957,277,2400,2485,915,296,undefined,652,347,3207,787,213,2522,699,623,484,457,79,-1,-1,164,2194,1090,363,416,254,828,446,-1,760,3901,2522,undefined
06/02/2019,18,2259,1426,-1,2330,948,3050,-1,366,1799,367,134,498,-1,1097,1628,892,723,788,1255,966,1119,-1,602,2717,985,1179,261,1425,1775,1038,341,undefined,344,336,2672,531,293,1392,405,418,223,235,20,-1,-1,75,1872,1094,562,524,341,671,241,-1,563,1527,1392,undefined
06/02/2019,19,1095,616,-1,1559,588,1534,-1,129,505,132,40,186,-1,459,948,502,331,267,884,1124,818,-1,269,1435,300,858,239,1187,851,818,265,undefined,116,103,1464,324,172,598,189,253,482,248,177,-1,-1,54,1057,1370,404,391,247,447,268,-1,381,464,598,undefined
06/02/2019,20,499,341,-1,932,299,980,-1,64,194,70,15,55,-1,235,602,295,197,154,565,953,650,-1,1283,885,138,626,226,269,241,706,241,undefined,61,52,717,206,106,349,83,128,577,37,32,-1,-1,36,556,871,247,291,196,293,64,-1,392,146,349,undefined
06/02/2019,21,350,210,-1,607,182,780,-1,32,87,77,5,54,-1,177,448,263,121,99,539,416,415,-1,85,741,108,515,123,437,169,509,288,undefined,86,29,622,171,104,359,59,164,117,29,24,-1,-1,19,486,539,211,246,145,244,69,-1,208,71,359,undefined
06/02/2019,22,336,186,-1,499,230,810,-1,49,135,68,30,105,-1,217,319,138,141,92,444,436,537,-1,18,547,156,410,142,601,300,422,143,undefined,73,157,733,106,80,296,90,283,27,8,59,-1,-1,25,394,287,140,187,92,182,59,-1,115,103,296,undefined
06/02/2019,23,165,108,-1,357,274,452,-1,35,60,32,22,80,-1,206,152,102,73,64,170,166,342,-1,10,301,100,257,53,149,288,343,89,undefined,65,174,810,67,23,206,47,45,19,6,13,-1,-1,11,250,76,124,69,85,115,17,-1,88,62,206,undefined
07/02/2019,0,93,32,-1,138,56,209,-1,8,20,7,6,18,-1,107,60,44,23,13,125,106,242,-1,7,132,43,95,24,76,73,217,44,undefined,4,6,193,23,22,100,11,18,31,4,4,-1,-1,15,134,26,60,14,32,47,18,-1,39,52,100,undefined
07/02/2019,1,54,28,-1,55,48,103,-1,3,13,9,7,14,-1,28,42,19,8,10,73,39,103,-1,14,28,43,59,9,17,31,95,25,undefined,4,10,71,12,10,46,-1,11,5,1,1,-1,-1,3,97,11,25,10,17,47,-1,-1,11,26,46,undefined
07/02/2019,2,27,12,-1,49,11,28,-1,1,5,1,1,6,-1,8,24,14,19,9,72,56,92,-1,4,27,18,44,8,16,19,54,13,undefined,11,8,31,9,4,27,3,7,8,2,3,-1,-1,1,32,12,22,5,16,17,1,-1,9,11,27,undefined
07/02/2019,3,18,16,-1,34,20,40,-1,1,4,2,1,4,-1,14,28,17,9,4,24,17,79,-1,16,31,23,38,2,38,12,60,9,undefined,-1,3,11,13,3,9,6,8,3,2,2,-1,-1,-1,21,8,44,3,11,11,2,-1,1,25,9,undefined
07/02/2019,4,10,25,-1,28,10,78,-1,2,7,3,-1,3,-1,42,11,11,9,4,21,17,35,-1,6,31,10,40,11,52,8,37,11,undefined,7,7,36,8,8,23,2,11,17,3,5,-1,-1,4,38,13,15,9,6,7,5,-1,8,19,23,undefined
07/02/2019,5,31,33,-1,92,30,252,-1,46,107,22,8,28,-1,112,21,36,68,36,13,19,43,-1,35,284,64,92,12,97,69,22,8,undefined,16,28,184,28,10,88,27,23,8,6,4,-1,-1,4,61,15,33,8,20,17,3,-1,14,50,88,undefined
07/02/2019,6,128,89,-1,208,75,959,-1,144,662,93,45,107,-1,320,98,150,262,198,47,32,80,-1,226,1096,243,158,35,330,413,76,34,undefined,84,62,956,84,17,333,105,99,64,41,33,-1,-1,21,223,67,54,27,38,60,43,-1,60,378,333,undefined
07/02/2019,7,426,257,-1,487,169,1796,-1,378,2324,355,62,236,-1,722,301,552,880,837,119,109,166,-1,704,2501,619,324,83,773,998,159,65,undefined,239,144,1579,285,40,1190,356,301,102,80,48,-1,-1,49,555,164,93,83,72,219,120,-1,135,1545,1190,undefined
07/02/2019,8,836,562,-1,1144,313,3911,-1,564,4543,653,102,378,-1,1401,732,915,2122,1886,249,156,354,-1,1407,4568,992,633,175,1640,1767,445,120,undefined,662,319,2923,759,107,2363,853,715,332,298,217,-1,-1,150,1154,286,157,155,137,711,337,-1,451,3249,2363,undefined
07/02/2019,9,934,674,-1,1068,339,2317,68,275,2784,522,28,274,-1,775,687,877,1509,1032,228,255,353,-1,886,2841,569,1290,226,963,983,374,136,undefined,409,219,1771,568,134,1600,736,558,345,390,320,-1,-1,256,1076,378,264,222,199,534,271,-1,435,2461,1600,undefined
07/02/2019,10,1232,1125,-1,1473,362,1427,33,189,982,307,28,170,-1,427,656,1097,883,578,439,306,458,-1,554,1770,537,1013,164,790,915,404,126,undefined,244,168,1353,567,151,1013,553,533,308,174,93,-1,-1,131,1180,402,267,236,166,464,110,-1,393,1209,1013,undefined
07/02/2019,11,1982,1594,-1,1924,538,1334,172,244,893,246,52,197,-1,462,979,1358,890,462,703,395,707,-1,634,1745,599,1153,223,1015,1128,481,161,undefined,196,89,1399,599,182,1207,477,574,361,263,139,-1,-1,121,1435,562,321,316,204,516,142,-1,520,1069,1207,undefined
07/02/2019,12,3119,2639,-1,2989,765,2264,191,594,1769,538,439,369,-1,579,1552,2140,1845,631,1253,739,1566,-1,1184,2627,853,1766,316,1274,1336,1014,296,undefined,346,284,2631,1090,354,1648,1310,915,471,354,162,-1,-1,263,2121,669,460,370,320,908,234,-1,765,2336,1648,undefined
07/02/2019,13,3418,2840,-1,3335,775,2383,-1,482,1637,407,114,312,-1,604,1487,2152,1748,730,1249,657,1498,-1,1067,2545,924,1548,298,1391,1604,945,335,undefined,334,270,2770,981,322,1752,1241,902,538,490,281,-1,-1,220,2245,575,451,438,340,980,233,-1,914,1877,1752,undefined
