_id,Date,Holiday Name,Information,More Information,Jurisdiction
267,20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
268,20230409,Easter Sunday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
269,20230410,Easter Monday,Public Holiday as part of Easter.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
270,20230425,Anzac Day,Celebrated on the 25 April each year.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
271,20230501,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
272,20230816,Royal Queensland Show (Brisbane only),"The Royal National Agricultural (RNA) Show Day (Brisbane only) is held on the Wednesday during the RNA Show period. The RNA Show commences on the first Friday in August, unless the first Friday is prior to 5 August, then it commences on the second Friday of August.",https://www.qld.gov.au/recreation/travel/holidays/public,qld
273,20231002,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
274,20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
275,20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.qld.gov.au/recreation/travel/holidays/public,qld
276,20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.safework.sa.gov.au/resources/public-holidays,sa
277,20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.safework.sa.gov.au/resources/public-holidays,sa
278,20230126,Australia Day,Always celebrated on 26 January,https://www.safework.sa.gov.au/resources/public-holidays,sa
279,20230313,Adelaide Cup Day,"The Holidays Act 1910 provides for the third Monday in May to be a public holiday, through the issuing of a special Proclamation by the Governor.",https://www.safework.sa.gov.au/resources/public-holidays,sa
280,20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.safework.sa.gov.au/resources/public-holidays,sa
281,20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.safework.sa.gov.au/resources/public-holidays,sa
282,20230409,Easter Sunday,Public Holiday as part of Easter.,https://www.safework.sa.gov.au/resources/public-holidays,sa
283,20230410,Easter Monday,Public Holiday as part of Easter.,https://www.safework.sa.gov.au/resources/public-holidays,sa
284,20230425,Anzac Day,Celebrated on the 25 April each year.,https://www.safework.sa.gov.au/resources/public-holidays,sa
285,20230612,Queen's Birthday / Volunteer's Day,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.safework.sa.gov.au/resources/public-holidays,sa
286,20231002,Labour Day,Always on a Monday creating a long weekend. It celebrates the eight-hour working day a victory for workers in the mid-late 19th century.,https://www.safework.sa.gov.au/resources/public-holidays,sa
287,20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.safework.sa.gov.au/resources/public-holidays,sa
288,20231226,Boxing Day / Proclamation Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.safework.sa.gov.au/resources/public-holidays,sa
289,20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
290,20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
291,20230126,Australia Day,Always celebrated on 26 January,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
292,20230313,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
293,20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
294,20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
295,20230409,Easter Sunday,Public Holiday as part of Easter.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
296,20230410,Easter Monday,Public Holiday as part of Easter.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
297,20230411,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
298,20230425,Anzac Day,Celebrated on the 25 April each year.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
299,20230612,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
300,20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
301,20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://worksafe.tas.gov.au/topics/laws-and-compliance/public-holidays,tas
302,20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://business.vic.gov.au/business-information/public-holidays,vic
303,20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://business.vic.gov.au/business-information/public-holidays,vic
304,20230126,Australia Day,Always celebrated on 26 January,https://business.vic.gov.au/business-information/public-holidays,vic
305,20230313,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://business.vic.gov.au/business-information/public-holidays,vic
306,20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://business.vic.gov.au/business-information/public-holidays,vic
307,20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://business.vic.gov.au/business-information/public-holidays,vic
308,20230409,Easter Sunday,Public Holiday as part of Easter.,https://business.vic.gov.au/business-information/public-holidays,vic
309,20230410,Easter Monday,Public Holiday as part of Easter.,https://business.vic.gov.au/business-information/public-holidays,vic
310,20230425,Anzac Day,Celebrated on the 25 April each year.,https://business.vic.gov.au/business-information/public-holidays,vic
311,20230612,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://business.vic.gov.au/business-information/public-holidays,vic
312,20231107,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,https://business.vic.gov.au/business-information/public-holidays,vic
313,20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://business.vic.gov.au/business-information/public-holidays,vic
314,20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://business.vic.gov.au/business-information/public-holidays,vic
315,20230101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
316,20230102,New Year's Day (observed),"As 1 January 2023 falls on a Saturday in 2023, the following Monday is observed as an additional public holiday.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
317,20230126,Australia Day,Always celebrated on 26 January,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
318,20230306,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
319,20230407,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
320,20230408,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
321,20230409,Easter Sunday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
322,20230410,Easter Monday,Public Holiday as part of Easter.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
323,20230425,Anzac Day,Celebrated on the 25 April each year.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
324,20230605,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
325,20230925,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
326,20231225,Christmas Day ,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
327,20231226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,https://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,wa
