year,month,day,rainfall_mm,max_temp,min_temp,solar_exp
2013,10,28,0.2,17.6,11.3,9.2
2013,10,29,1.4,16.2,11.8,19.6
2013,10,30,0,18,11.8,15
2013,10,31,0,16.2,12,20.9
2013,11,1,0,20.1,8.5,27.8
2013,11,2,0,24.6,12.2,26.1
2013,11,3,0,16.6,13.4,21.5
2013,11,4,1.2,15.9,9.9,25.1
2013,11,5,0,25,8.4,29.1
2013,11,6,0,30.3,11.1,29.5
2013,11,7,0,25.8,17.7,11.8
2013,11,8,0,17.7,14.4,3
2013,11,9,4.2,15.8,10.3,21.5
2013,11,10,2,16.3,9.3,20.4
2013,11,11,0,18.9,9.7,17
2013,11,12,0.4,16,12.6,4.3
2013,11,13,18.6,14.6,10.3,3.4
2013,11,14,7.8,15.9,11.1,11.9
2013,11,15,0,17,11.5,21.7
2013,11,16,0,17.1,9.4,18.3
2013,11,17,0,18.6,8.5,30.8
2013,11,18,0,26.9,10.3,29.8
2013,11,19,0,30.6,15,26.8
2013,11,20,0,17.8,14.1,9.4
2013,11,21,0.2,22.7,12.1,16.7
2013,11,22,0,21.9,12.9,18.4
2013,11,23,2.6,18.7,13.1,19.9
2013,11,24,6,17.7,11.7,18.5
2013,11,25,0.2,21.7,12.9,30.5
2013,11,26,0,28.2,10.1,27.1
2013,11,27,0,32.7,15,24.6
2013,11,28,0,24.1,20.9,2.1
2013,11,29,9.6,16.7,12,17.9
2013,11,30,0.2,17.9,12.1,29.8
2013,12,1,0,30.8,9.9,28.3
2013,12,2,0,35.5,16.4,30.9
2013,12,3,0,25.4,16.3,14.4
2013,12,4,10.4,21.1,17.1,2.8
2013,12,5,9.2,15.6,10.6,12.9
2013,12,6,2.6,17.5,8.2,27.2
2013,12,7,0,26.1,10.7,33
2013,12,8,0,27.6,14.6,5.4
2013,12,9,0,18.1,15.8,2.4
2013,12,10,12.4,20.3,12.8,23
2013,12,11,0.4,20,13.2,21.7
2013,12,12,2.4,21.8,10.6,30.9
2013,12,13,0,22.5,14.2,13.9
2013,12,14,0,18.1,14.3,25.6
2013,12,15,0,19.1,13.7,27.8
2013,12,16,0,19.3,14.6,26
2013,12,17,0,19.7,14,22.8
2013,12,18,0,26.3,13.8,28.2
2013,12,19,0,39.2,15.6,28.7
2013,12,20,0,22.2,19.2,29.8
2013,12,21,0,21,14.9,5.7
2013,12,22,0.2,28.7,16,2.9
2013,12,23,2,17.3,14.3,9
2013,12,24,1,21.5,13.3,32.3
2013,12,25,0,31.6,11.7,29.2
2013,12,26,0,26.7,16.2,20.8
2013,12,27,0,21.3,16.4,28.6
2013,12,28,0,36.2,14,30
2013,12,29,0,18.9,13.7,33.8
2013,12,30,0,20.7,11.7,34.1
2013,12,31,0,24.6,12.3,33.3
2014,1,1,0,26.5,15.5,2.7
2014,1,2,5.2,21.8,15,25.8
2014,1,3,0,21.6,13.3,28.8
2014,1,4,0,20.8,13.4,13.4
2014,1,5,0.2,26.2,10.3,25.6
2014,1,6,0.8,18.8,12.4,24.4
2014,1,7,0,19.2,14,22.2
2014,1,8,0,27.2,11.7,32.7
2014,1,9,0,32.3,13.4,27.5
2014,1,10,0,34.3,18.7,27.9
2014,1,11,0,21.1,17.3,20.3
2014,1,12,0,20.7,16.5,24.6
2014,1,13,0,29,13.5,32.1
2014,1,14,0,42,18.2,30.2
2014,1,15,0.2,41.6,26.6,25.6
2014,1,16,0,43.4,24.7,25.9
2014,1,17,0.2,42.5,24.4,28.7
2014,1,18,0.2,23.2,21.3,16.7
2014,1,19,0,20.8,16,25.6
2014,1,20,0,23.4,16.6,23.1
2014,1,21,0,21.9,16.7,23.2
2014,1,22,0.2,21.7,16,31.7
2014,1,23,0,28.4,12.1,30.9
2014,1,24,1,21.4,16.9,11.3
2014,1,25,5.4,19.1,15.1,29.7
2014,1,26,0,27.2,11.8,31.1
2014,1,27,0,34.6,16.8,30.5
2014,1,28,0,41,23,28.2
2014,1,29,0,22.9,17.9,26.1
2014,1,30,0,28.1,15,27.8
2014,1,31,0,24.8,18.4,27.2
2014,2,1,0,27.7,18.1,27.6
2014,2,2,0,38.1,18.1,29.7
2014,2,3,0,34.6,21.8,7.4
2014,2,4,0.4,25.8,14.2,27.6
2014,2,5,0,30.3,13.1,29
2014,2,6,0,34.5,16.2,27.7
2014,2,7,0,35.6,22.4,25.6
2014,2,8,0,40.7,17.9,27.9
2014,2,9,0,39.4,21.6,27.3
2014,2,10,0,22.4,15.3,28.7
2014,2,11,0,25.5,14.2,28.1
2014,2,12,0,25.7,16.2,21
2014,2,13,0,25.5,19,8.4
2014,2,14,0,25.5,18.9,10.2
2014,2,15,0,28.2,20.3,14.7
2014,2,16,5.8,21.6,16.7,20.8
2014,2,17,4.8,24.6,16.1,24.2
2014,2,18,0,30.7,14.5,26.3
2014,2,19,0,24.6,17.2,11.2
2014,2,20,10.4,20,12.7,16.7
2014,2,21,0,19.4,13.2,17.5
2014,2,22,0.6,19.3,14.1,9.5
2014,2,23,0,21.2,14,26.2
2014,2,24,0,23.9,13.4,24.8
2014,2,25,0,33.2,15,14.7
2014,2,26,0,20.6,14.9,16.6
2014,2,27,0.4,20,14,21.5
2014,2,28,0,21.3,12.3,25.1
2014,3,1,0,22.3,14.5,16.7
2014,3,2,0,21.2,16.8,19.6
2014,3,3,0,23.2,15.3,23.1
2014,3,4,0,32.9,15.7,20.9
2014,3,5,0,22.6,18.6,3.2
2014,3,6,0,19.6,13,23.5
2014,3,7,0,22,14.1,11.6
2014,3,8,0,27.4,14.8,21.1
