date,street,people_count
2022-07-09,Bourke Street Mall (North),24461
2022-07-09,Chinatown-Swanston St (North),15429
2022-07-09,Southern Cross Station,2676
2022-07-09,Melbourne Central,31902
2022-07-09,QV Market-Peel St,0
2022-07-09,Spencer St-Collins St (North),16901
2022-07-08,Collins Place (North),4627
2022-07-08,Bourke Street Mall (North),19762
2022-07-08,Chinatown-Swanston St (North),5016
2022-07-08,Spencer St-Collins St (North),21290
2022-07-08,Melbourne Central,26739
2022-07-08,QV Market-Peel St,0
2022-07-08,Southern Cross Station,7280
2022-07-07,Spencer St-Collins St (North),21082
2022-07-07,Southern Cross Station,10930
2022-07-07,QV Market-Peel St,1260
2022-07-07,Melbourne Central,25782
2022-07-07,Collins Place (North),6255
2022-07-07,Chinatown-Swanston St (North),0
2022-07-07,Bourke Street Mall (North),20254
2022-07-06,Collins Place (North),6281
2022-07-06,Bourke Street Mall (North),20579
2022-07-06,Chinatown-Swanston St (North),0
2022-07-06,Melbourne Central,28034
2022-07-06,QV Market-Peel St,5271
2022-07-06,Spencer St-Collins St (North),20572
2022-07-06,Southern Cross Station,11626
2022-07-05,Spencer St-Collins St (North),21140
2022-07-05,Southern Cross Station,11605
2022-07-05,QV Market-Peel St,2748
2022-07-05,Melbourne Central,23978
2022-07-05,Collins Place (North),6397
2022-07-05,Chinatown-Swanston St (North),0
2022-07-05,Bourke Street Mall (North),19006
2022-07-04,Collins Place (North),5174
2022-07-04,Bourke Street Mall (North),18500
2022-07-04,Chinatown-Swanston St (North),0
2022-07-04,Spencer St-Collins St (North),19049
2022-07-04,Melbourne Central,23267
2022-07-04,Southern Cross Station,8784
2022-07-04,QV Market-Peel St,1944
2022-07-03,Collins Place (North),1510
2022-07-03,Bourke Street Mall (North),19639
2022-07-03,Chinatown-Swanston St (North),0
2022-07-03,Spencer St-Collins St (North),14541
2022-07-03,Melbourne Central,26351
2022-07-03,QV Market-Peel St,4294
2022-07-03,Southern Cross Station,5344
2022-07-02,Southern Cross Station,6638
2022-07-02,QV Market-Peel St,4311
2022-07-02,Melbourne Central,36099
2022-07-02,Collins Place (North),2594
2022-07-02,Chinatown-Swanston St (North),0
2022-07-02,Bourke Street Mall (North),23469
2022-07-02,Spencer St-Collins St (North),17301
2022-07-01,Chinatown-Swanston St (North),0
2022-07-01,Bourke Street Mall (North),20550
2022-07-01,Spencer St-Collins St (North),23293
2022-07-01,Southern Cross Station,10829
2022-07-01,QV Market-Peel St,2642
2022-07-01,Melbourne Central,28015
2022-07-01,Collins Place (North),5668
2022-06-30,Melbourne Central,24710
2022-06-30,Bourke Street Mall (North),20726
2022-06-30,Collins Place (North),6442
2022-06-30,Chinatown-Swanston St (North),0
2022-06-30,QV Market-Peel St,2571
2022-06-30,Southern Cross Station,11974
2022-06-30,Spencer St-Collins St (North),21336
2022-06-29,Spencer St-Collins St (North),19905
2022-06-29,Southern Cross Station,11680
2022-06-29,QV Market-Peel St,4177
2022-06-29,Melbourne Central,25107
2022-06-29,Collins Place (North),6397
2022-06-29,Chinatown-Swanston St (North),0
2022-06-29,Bourke Street Mall (North),18727
2022-06-28,Collins Place (North),6478
2022-06-28,Bourke Street Mall (North),18520
2022-06-28,Chinatown-Swanston St (North),0
2022-06-28,QV Market-Peel St,2582
2022-06-28,Spencer St-Collins St (North),19445
2022-06-28,Melbourne Central,22501
2022-06-28,Southern Cross Station,12151
2022-06-27,Melbourne Central,22046
2022-06-27,Bourke Street Mall (North),17467
2022-06-27,Collins Place (North),5010
2022-06-27,Chinatown-Swanston St (North),355
2022-06-27,QV Market-Peel St,1883
2022-06-27,Southern Cross Station,8944
2022-06-27,Spencer St-Collins St (North),17497
2022-06-26,Spencer St-Collins St (North),11743
2022-06-26,Southern Cross Station,1226
2022-06-26,QV Market-Peel St,3299
2022-06-26,Melbourne Central,22946
2022-06-26,Collins Place (North),1061
2022-06-26,Chinatown-Swanston St (North),11271
2022-06-26,Bourke Street Mall (North),17164
2022-06-25,Chinatown-Swanston St (North),15589
2022-06-25,Melbourne Central,32314
2022-06-25,Bourke Street Mall (North),24895
2022-06-25,Collins Place (North),2316
2022-06-25,Southern Cross Station,2874
2022-06-25,QV Market-Peel St,4515
2022-06-25,Spencer St-Collins St (North),17455
2022-06-24,Spencer St-Collins St (North),22762
2022-06-24,Southern Cross Station,9292
2022-06-24,QV Market-Peel St,2691
2022-06-24,Melbourne Central,26812
2022-06-24,Collins Place (North),5813
2022-06-24,Chinatown-Swanston St (North),12123
2022-06-24,Bourke Street Mall (North),20102
2022-06-23,Melbourne Central,21534
2022-06-23,Bourke Street Mall (North),18080
2022-06-23,Chinatown-Swanston St (North),8834
2022-06-23,Collins Place (North),6655
2022-06-23,Spencer St-Collins St (North),20486
2022-06-23,QV Market-Peel St,2380
2022-06-23,Southern Cross Station,12924
2022-06-22,Melbourne Central,21523
2022-06-22,Bourke Street Mall (North),15892
2022-06-22,Chinatown-Swanston St (North),8511
2022-06-22,Collins Place (North),6801
