date,street,people_count
2020-02-20,Southern Cross Station,29584
2020-02-20,QV Market-Peel St,4013
2020-02-20,Melbourne Central,29272
2020-02-20,Collins Place (North),12666
2020-02-20,Chinatown-Swanston St (North),11447
2020-02-20,Bourke Street Mall (North),29025
2020-02-19,Melbourne Central,24436
2020-02-19,Chinatown-Swanston St (North),10588
2020-02-19,Collins Place (North),11257
2020-02-19,Bourke Street Mall (North),26789
2020-02-19,QV Market-Peel St,1998
2020-02-19,Spencer St-Collins St (North),36203
2020-02-19,Southern Cross Station,26496
2020-02-18,Melbourne Central,21360
2020-02-18,Chinatown-Swanston St (North),8600
2020-02-18,Collins Place (North),11170
2020-02-18,Bourke Street Mall (North),24318
2020-02-18,QV Market-Peel St,-24
2020-02-18,Southern Cross Station,26390
2020-02-18,Spencer St-Collins St (North),34992
2020-02-17,Spencer St-Collins St (North),35663
2020-02-17,Southern Cross Station,28069
2020-02-17,QV Market-Peel St,-24
2020-02-17,Melbourne Central,25688
2020-02-17,Collins Place (North),12406
2020-02-17,Chinatown-Swanston St (North),10063
2020-02-17,Bourke Street Mall (North),28792
2020-02-16,Melbourne Central,24302
2020-02-16,Chinatown-Swanston St (North),12146
2020-02-16,Collins Place (North),1700
2020-02-16,Bourke Street Mall (North),26097
2020-02-16,QV Market-Peel St,-24
2020-02-16,Southern Cross Station,1966
2020-02-16,Spencer St-Collins St (North),13107
2020-02-15,Bourke Street Mall (North),26316
2020-02-15,Chinatown-Swanston St (North),12938
2020-02-15,Collins Place (North),2290
2020-02-15,Melbourne Central,26686
2020-02-15,QV Market-Peel St,-24
2020-02-15,Southern Cross Station,2507
2020-02-15,Spencer St-Collins St (North),17318
2020-02-14,Bourke Street Mall (North),30905
2020-02-14,Spencer St-Collins St (North),36345
2020-02-14,Collins Place (North),11692
2020-02-14,Chinatown-Swanston St (North),12653
2020-02-14,Southern Cross Station,24061
2020-02-14,Melbourne Central,27609
2020-02-14,QV Market-Peel St,-24
2020-02-13,Spencer St-Collins St (North),35836
2020-02-13,Southern Cross Station,25414
2020-02-13,QV Market-Peel St,2695
2020-02-13,Melbourne Central,23742
2020-02-13,Collins Place (North),11253
2020-02-13,Chinatown-Swanston St (North),10666
2020-02-13,Bourke Street Mall (North),30749
2020-02-12,Melbourne Central,24750
2020-02-12,Chinatown-Swanston St (North),9891
2020-02-12,Collins Place (North),11197
2020-02-12,Bourke Street Mall (North),27255
2020-02-12,QV Market-Peel St,2149
2020-02-12,Spencer St-Collins St (North),36549
2020-02-12,Southern Cross Station,25767
2020-02-11,Melbourne Central,23142
2020-02-11,Chinatown-Swanston St (North),9410
2020-02-11,Collins Place (North),11479
2020-02-11,Bourke Street Mall (North),24627
2020-02-11,QV Market-Peel St,2916
2020-02-11,Southern Cross Station,26198
2020-02-11,Spencer St-Collins St (North),35934
2020-02-10,Spencer St-Collins St (North),35285
2020-02-10,Southern Cross Station,25448
2020-02-10,QV Market-Peel St,2336
2020-02-10,Melbourne Central,22049
2020-02-10,Collins Place (North),10809
2020-02-10,Chinatown-Swanston St (North),9113
2020-02-10,Bourke Street Mall (North),22558
2020-02-09,Bourke Street Mall (North),19343
2020-02-09,Chinatown-Swanston St (North),9977
2020-02-09,Collins Place (North),1575
2020-02-09,Melbourne Central,21871
2020-02-09,QV Market-Peel St,3577
2020-02-09,Spencer St-Collins St (North),14214
2020-02-09,Southern Cross Station,1990
2020-02-08,Southern Cross Station,2795
2020-02-08,QV Market-Peel St,4283
2020-02-08,Melbourne Central,26959
2020-02-08,Collins Place (North),2632
2020-02-08,Chinatown-Swanston St (North),12916
2020-02-08,Bourke Street Mall (North),28662
2020-02-08,Spencer St-Collins St (North),18380
2020-02-07,Bourke Street Mall (North),28720
2020-02-07,Melbourne Central,27291
2020-02-07,Chinatown-Swanston St (North),11816
2020-02-07,Collins Place (North),11002
2020-02-07,Southern Cross Station,24739
2020-02-07,QV Market-Peel St,3254
2020-02-07,Spencer St-Collins St (North),39133
2020-02-06,Melbourne Central,22409
2020-02-06,Bourke Street Mall (North),29094
2020-02-06,Chinatown-Swanston St (North),10680
2020-02-06,Collins Place (North),12105
2020-02-06,Southern Cross Station,26038
2020-02-06,QV Market-Peel St,3049
2020-02-06,Spencer St-Collins St (North),40330
2020-02-05,Spencer St-Collins St (North),40927
2020-02-05,Southern Cross Station,24726
2020-02-05,QV Market-Peel St,3607
2020-02-05,Melbourne Central,22386
2020-02-05,Collins Place (North),11812
2020-02-05,Chinatown-Swanston St (North),9859
2020-02-05,Bourke Street Mall (North),27693
2020-02-04,Melbourne Central,22375
2020-02-04,Chinatown-Swanston St (North),9766
2020-02-04,Collins Place (North),11742
2020-02-04,Bourke Street Mall (North),27353
2020-02-04,QV Market-Peel St,3304
2020-02-04,Southern Cross Station,25040
2020-02-04,Spencer St-Collins St (North),39883
2020-02-03,Southern Cross Station,24211
2020-02-03,QV Market-Peel St,2451
2020-02-03,Melbourne Central,21035
2020-02-03,Collins Place (North),11219
2020-02-03,Chinatown-Swanston St (North),8743
2020-02-03,Bourke Street Mall (North),24240
2020-02-03,Spencer St-Collins St (North),38296
2020-02-02,Bourke Street Mall (North),22866
2020-02-02,Melbourne Central,22045
2020-02-02,Chinatown-Swanston St (North),11062
2020-02-02,Collins Place (North),1751
2020-02-02,Southern Cross Station,1813
2020-02-02,QV Market-Peel St,3831
2020-02-02,Spencer St-Collins St (North),15187
2020-02-01,Melbourne Central,20418
2020-02-01,Bourke Street Mall (North),20825
2020-02-01,Chinatown-Swanston St (North),10666
2020-02-01,Collins Place (North),1989
2020-02-01,Spencer St-Collins St (North),15775
2020-02-01,QV Market-Peel St,3536
2020-02-01,Southern Cross Station,2005
2020-01-31,Spencer St-Collins St (North),35937
2020-01-31,Southern Cross Station,20052
2020-01-31,QV Market-Peel St,2604
2020-01-31,Melbourne Central,21910
2020-01-31,Collins Place (North),10188
2020-01-31,Chinatown-Swanston St (North),10513
2020-01-31,Bourke Street Mall (North),22846
2020-01-30,Melbourne Central,21811
2020-01-30,Chinatown-Swanston St (North),10414
2020-01-30,Bourke Street Mall (North),27153
2020-01-30,Collins Place (North),11559
2020-01-30,QV Market-Peel St,2932
2020-01-30,Spencer St-Collins St (North),38980
2020-01-30,Southern Cross Station,25407
2020-01-29,Melbourne Central,22944
2020-01-29,Chinatown-Swanston St (North),10789
2020-01-29,Collins Place (North),11475
2020-01-29,Bourke Street Mall (North),29775
2020-01-29,QV Market-Peel St,3365
2020-01-29,Southern Cross Station,23257
2020-01-29,Spencer St-Collins St (North),38211
2020-01-28,Spencer St-Collins St (North),39088
2020-01-28,Southern Cross Station,25722
2020-01-28,QV Market-Peel St,3497
2020-01-28,Melbourne Central,24849
2020-01-28,Collins Place (North),11387
2020-01-28,Chinatown-Swanston St (North),10791
2020-01-28,Bourke Street Mall (North),28038
2020-01-27,Melbourne Central,22298
2020-01-27,Bourke Street Mall (North),23299
2020-01-27,Chinatown-Swanston St (North),11590
2020-01-27,Collins Place (North),1575
2020-01-27,Spencer St-Collins St (North),15662
2020-01-27,QV Market-Peel St,1989
2020-01-27,Southern Cross Station,2042
2020-01-26,Spencer St-Collins St (North),17524
2020-01-26,Southern Cross Station,2352
2020-01-26,QV Market-Peel St,3840
2020-01-26,Melbourne Central,29097
2020-01-26,Collins Place (North),2816
2020-01-26,Chinatown-Swanston St (North),15735
2020-01-26,Bourke Street Mall (North),26289
2020-01-25,Bourke Street Mall (North),32503
2020-01-25,Spencer St-Collins St (North),19414
2020-01-25,Southern Cross Station,2322
2020-01-25,QV Market-Peel St,4305
2020-01-25,Melbourne Central,27797
2020-01-25,Collins Place (North),2734
2020-01-25,Chinatown-Swanston St (North),19647
2020-01-24,Spencer St-Collins St (North),39086
2020-01-24,Southern Cross Station,20671
2020-01-24,QV Market-Peel St,3729
2020-01-24,Melbourne Central,29455
2020-01-24,Collins Place (North),9169
2020-01-24,Bourke Street Mall (North),35819
2020-01-24,Chinatown-Swanston St (North),18155
2020-01-23,Spencer St-Collins St (North),40137
2020-01-23,Chinatown-Swanston St (North),12521
2020-01-23,Bourke Street Mall (North),31650
2020-01-23,QV Market-Peel St,3503
2020-01-23,Collins Place (North),9973
2020-01-23,Melbourne Central,23929
2020-01-23,Southern Cross Station,22823
2020-01-22,Collins Place (North),10116
2020-01-22,Bourke Street Mall (North),29260
2020-01-22,Chinatown-Swanston St (North),11994
2020-01-22,QV Market-Peel St,3323
2020-01-22,Melbourne Central,23817
2020-01-22,Southern Cross Station,22711
2020-01-22,Spencer St-Collins St (North),39062
2020-01-21,Spencer St-Collins St (North),40132
2020-01-21,Southern Cross Station,23930
2020-01-21,QV Market-Peel St,3604
2020-01-21,Melbourne Central,25635
2020-01-21,Collins Place (North),10502
2020-01-21,Chinatown-Swanston St (North),13177
2020-01-21,Bourke Street Mall (North),32371
2020-01-20,Collins Place (North),9813
2020-01-20,Bourke Street Mall (North),22593
2020-01-20,Chinatown-Swanston St (North),9159
2020-01-20,Spencer St-Collins St (North),39604
2020-01-20,Melbourne Central,17676
2020-01-20,Southern Cross Station,20732
2020-01-20,QV Market-Peel St,2106
2020-01-19,Spencer St-Collins St (North),16387
2020-01-19,Southern Cross Station,1729
2020-01-19,QV Market-Peel St,3741
2020-01-19,Melbourne Central,22523
2020-01-19,Collins Place (North),1774
2020-01-19,Chinatown-Swanston St (North),12710
2020-01-19,Bourke Street Mall (North),24377
2020-01-18,Collins Place (North),2521
2020-01-18,Bourke Street Mall (North),31672
2020-01-18,Chinatown-Swanston St (North),16306
2020-01-18,QV Market-Peel St,3978
2020-01-18,Melbourne Central,29116
2020-01-18,Southern Cross Station,2315
2020-01-18,Spencer St-Collins St (North),19852
2020-01-17,Spencer St-Collins St (North),39081
2020-01-17,QV Market-Peel St,3443
2020-01-17,Melbourne Central,29422
2020-01-17,Collins Place (North),9351
2020-01-17,Chinatown-Swanston St (North),15485
2020-01-17,Bourke Street Mall (North),35622
2020-01-17,Southern Cross Station,21839
2020-01-16,Bourke Street Mall (North),28105
2020-01-16,Collins Place (North),9546
2020-01-16,Melbourne Central,24258
2020-01-16,QV Market-Peel St,3502
2020-01-16,Southern Cross Station,21536
2020-01-16,Spencer St-Collins St (North),38046
2020-01-16,Chinatown-Swanston St (North),12656
2020-01-15,Collins Place (North),9878
2020-01-15,Bourke Street Mall (North),22117
2020-01-15,Chinatown-Swanston St (North),9329
2020-01-15,Spencer St-Collins St (North),37566
2020-01-15,Melbourne Central,18067
2020-01-15,Southern Cross Station,18861
2020-01-15,QV Market-Peel St,2618
2020-01-14,Spencer St-Collins St (North),37192
2020-01-14,Southern Cross Station,21387
2020-01-14,QV Market-Peel St,2726
2020-01-14,Melbourne Central,21446
2020-01-14,Collins Place (North),9480
2020-01-14,Chinatown-Swanston St (North),10542
2020-01-14,Bourke Street Mall (North),26755
2020-01-13,Collins Place (North),9397
2020-01-13,Bourke Street Mall (North),29032
2020-01-13,Chinatown-Swanston St (North),11205
2020-01-13,Spencer St-Collins St (North),37158
2020-01-13,Melbourne Central,22878
2020-01-13,QV Market-Peel St,2392
2020-01-13,Southern Cross Station,22414
2020-01-12,Collins Place (North),1518
2020-01-12,Chinatown-Swanston St (North),12412
2020-01-12,Bourke Street Mall (North),24819
2020-01-12,Melbourne Central,22742
2020-01-12,QV Market-Peel St,4003
2020-01-12,Southern Cross Station,1671
2020-01-12,Spencer St-Collins St (North),15911
2020-01-11,Spencer St-Collins St (North),18074
2020-01-11,Southern Cross Station,1818
2020-01-11,QV Market-Peel St,4384
2020-01-11,Melbourne Central,27518
2020-01-11,Collins Place (North),2133
2020-01-11,Chinatown-Swanston St (North),15201
2020-01-11,Bourke Street Mall (North),26960
2020-01-10,Bourke Street Mall (North),26850
2020-01-10,Chinatown-Swanston St (North),13319
2020-01-10,Collins Place (North),7957
2020-01-10,Melbourne Central,28036
2020-01-10,Southern Cross Station,16687
2020-01-10,Spencer St-Collins St (North),36588
2020-01-10,QV Market-Peel St,4234
2020-01-09,Spencer St-Collins St (North),35033
2020-01-09,Southern Cross Station,19506
2020-01-09,QV Market-Peel St,3078
2020-01-09,Melbourne Central,23634
2020-01-09,Collins Place (North),8754
2020-01-09,Chinatown-Swanston St (North),12653
2020-01-09,Bourke Street Mall (North),32858
2020-01-08,Bourke Street Mall (North),31946
2020-01-08,Chinatown-Swanston St (North),12950
2020-01-08,Southern Cross Station,19551
2020-01-08,QV Market-Peel St,3854
2020-01-08,Melbourne Central,25632
2020-01-08,Collins Place (North),8870
2020-01-08,Spencer St-Collins St (North),34828
2020-01-07,Melbourne Central,23818
2020-01-07,Bourke Street Mall (North),28976
2020-01-07,Collins Place (North),7966
2020-01-07,Chinatown-Swanston St (North),12185
2020-01-07,QV Market-Peel St,3360
2020-01-07,Southern Cross Station,20076
2020-01-07,Spencer St-Collins St (North),33415
2020-01-06,Spencer St-Collins St (North),33655
2020-01-06,Southern Cross Station,19796
2020-01-06,QV Market-Peel St,1950
2020-01-06,Melbourne Central,21302
2020-01-06,Collins Place (North),7826
2020-01-06,Chinatown-Swanston St (North),10998
2020-01-06,Bourke Street Mall (North),29493
2020-01-05,Bourke Street Mall (North),24650
2020-01-05,Chinatown-Swanston St (North),11943
2020-01-05,Collins Place (North),1338
2020-01-05,Melbourne Central,20798
2020-01-05,QV Market-Peel St,3386
2020-01-05,Southern Cross Station,1437
2020-01-05,Spencer St-Collins St (North),14099
2020-01-04,Spencer St-Collins St (North),14822
2020-01-04,Southern Cross Station,1559
2020-01-04,QV Market-Peel St,3736
2020-01-04,Melbourne Central,25006
2020-01-04,Collins Place (North),1901
2020-01-04,Chinatown-Swanston St (North),14067
2020-01-04,Bourke Street Mall (North),25166
2020-01-03,Melbourne Central,24364
2020-01-03,Bourke Street Mall (North),34379
2020-01-03,Chinatown-Swanston St (North),13736
2020-01-03,Collins Place (North),4986
2020-01-03,Southern Cross Station,9031
2020-01-03,QV Market-Peel St,3022
2020-01-03,Spencer St-Collins St (North),25113
2020-01-02,Melbourne Central,25351
2020-01-02,Bourke Street Mall (North),36742
2020-01-02,Chinatown-Swanston St (North),14002
2020-01-02,Collins Place (North),5217
2020-01-02,Spencer St-Collins St (North),26692
2020-01-02,QV Market-Peel St,3247
2020-01-02,Southern Cross Station,9910
2020-01-01,Spencer St-Collins St (North),19527
2020-01-01,Southern Cross Station,3898
2020-01-01,QV Market-Peel St,1966
2020-01-01,Melbourne Central,34536
2020-01-01,Collins Place (North),2207
2020-01-01,Chinatown-Swanston St (North),16682
2020-01-01,Bourke Street Mall (North),29933
2019-12-31,Melbourne Central,37931
2019-12-31,Bourke Street Mall (North),38158
2019-12-31,Chinatown-Swanston St (North),17239
2019-12-31,QV Market-Peel St,3924
2019-12-31,Spencer St-Collins St (North),27272
2019-12-31,Collins Place (North),5010
2019-12-31,Southern Cross Station,7835
2019-12-30,Southern Cross Station,5206
2019-12-30,QV Market-Peel St,1567
2019-12-30,Melbourne Central,20222
2019-12-30,Collins Place (North),4237
2019-12-30,Chinatown-Swanston St (North),11656
2019-12-30,Bourke Street Mall (North),25344
2019-12-30,Spencer St-Collins St (North),21015
2019-12-29,Melbourne Central,26287
2019-12-29,Chinatown-Swanston St (North),15308
2019-12-29,Collins Place (North),1814
2019-12-29,Bourke Street Mall (North),33127
2019-12-29,QV Market-Peel St,3371
2019-12-29,Southern Cross Station,1991
2019-12-29,Spencer St-Collins St (North),17392
2019-12-28,Collins Place (North),2455
2019-12-28,Bourke Street Mall (North),36339
2019-12-28,Chinatown-Swanston St (North),16576
2019-12-28,Southern Cross Station,1961
2019-12-28,Melbourne Central,27946
2019-12-28,QV Market-Peel St,3594
2019-12-28,Spencer St-Collins St (North),17467
2019-12-27,Southern Cross Station,5191
2019-12-27,QV Market-Peel St,3273
2019-12-27,Melbourne Central,28659
2019-12-27,Collins Place (North),4238
2019-12-27,Chinatown-Swanston St (North),16425
2019-12-27,Bourke Street Mall (North),42715
2019-12-27,Spencer St-Collins St (North),23589
2019-12-26,Collins Place (North),1987
2019-12-26,Bourke Street Mall (North),47320
2019-12-26,Chinatown-Swanston St (North),20668
2019-12-26,QV Market-Peel St,2036
2019-12-26,Melbourne Central,39898
2019-12-26,Spencer St-Collins St (North),19869
2019-12-26,Southern Cross Station,2757
2019-12-25,Spencer St-Collins St (North),15209
2019-12-25,Southern Cross Station,1583
2019-12-25,QV Market-Peel St,1283
2019-12-25,Melbourne Central,32926
2019-12-25,Collins Place (North),1081
2019-12-25,Chinatown-Swanston St (North),17446
2019-12-25,Bourke Street Mall (North),29596
2019-12-24,Collins Place (North),5604
2019-12-24,Bourke Street Mall (North),49308
2019-12-24,Chinatown-Swanston St (North),16261
2019-12-24,Spencer St-Collins St (North),25700
2019-12-24,Melbourne Central,31785
2019-12-24,QV Market-Peel St,4663
2019-12-24,Southern Cross Station,8605
2019-12-23,Collins Place (North),7665
2019-12-23,Bourke Street Mall (North),49043
2019-12-23,Chinatown-Swanston St (North),16270
2019-12-23,Spencer St-Collins St (North),30486
2019-12-23,Melbourne Central,31961
2019-12-23,QV Market-Peel St,3836
2019-12-23,Southern Cross Station,11766
2019-12-22,Spencer St-Collins St (North),16613
2019-12-22,Southern Cross Station,1745
2019-12-22,QV Market-Peel St,4173
2019-12-22,Melbourne Central,29735
2019-12-22,Collins Place (North),1823
2019-12-22,Chinatown-Swanston St (North),15949
2019-12-22,Bourke Street Mall (North),42817
2019-12-21,Bourke Street Mall (North),39141
2019-12-21,Collins Place (North),2347
2019-12-21,Chinatown-Swanston St (North),16481
2019-12-21,Southern Cross Station,1710
2019-12-21,Melbourne Central,32912
2019-12-21,Spencer St-Collins St (North),18241
2019-12-21,QV Market-Peel St,4534
2019-12-20,Spencer St-Collins St (North),35305
2019-12-20,Southern Cross Station,19583
2019-12-20,QV Market-Peel St,2514
2019-12-20,Melbourne Central,23905
2019-12-20,Collins Place (North),9634
2019-12-20,Chinatown-Swanston St (North),13028
2019-12-20,Bourke Street Mall (North),34471
2019-12-19,Melbourne Central,31698
2019-12-19,Bourke Street Mall (North),46361
2019-12-19,Collins Place (North),12514
2019-12-19,Chinatown-Swanston St (North),15390
2019-12-19,QV Market-Peel St,3573
2019-12-19,Southern Cross Station,24859
2019-12-19,Spencer St-Collins St (North),39646
2019-12-18,Spencer St-Collins St (North),41684
2019-12-18,Southern Cross Station,23874
2019-12-18,QV Market-Peel St,3301
2019-12-18,Melbourne Central,26470
2019-12-18,Collins Place (North),11358
2019-12-18,Chinatown-Swanston St (North),13272
2019-12-18,Bourke Street Mall (North),37696
2019-12-17,Spencer St-Collins St (North),42095
2019-12-17,Southern Cross Station,25803
2019-12-17,QV Market-Peel St,3534
2019-12-17,Melbourne Central,28816
2019-12-17,Collins Place (North),12219
2019-12-17,Chinatown-Swanston St (North),12987
2019-12-17,Bourke Street Mall (North),43280
2019-12-16,Bourke Street Mall (North),42744
2019-12-16,Collins Place (North),11652
2019-12-16,Melbourne Central,28437
2019-12-16,QV Market-Peel St,2611
2019-12-16,Southern Cross Station,25715
2019-12-16,Spencer St-Collins St (North),40363
2019-12-16,Chinatown-Swanston St (North),13804
2019-12-15,Collins Place (North),2171
2019-12-15,Bourke Street Mall (North),35537
2019-12-15,Chinatown-Swanston St (North),15537
2019-12-15,Southern Cross Station,2042
2019-12-15,Melbourne Central,28340
2019-12-15,QV Market-Peel St,3972
2019-12-15,Spencer St-Collins St (North),16605
2019-12-14,Melbourne Central,31613
2019-12-14,Bourke Street Mall (North),42024
2019-12-14,Collins Place (North),2621
2019-12-14,Chinatown-Swanston St (North),16873
2019-12-14,QV Market-Peel St,4509
2019-12-14,Southern Cross Station,2885
2019-12-14,Spencer St-Collins St (North),21476
2019-12-13,Spencer St-Collins St (North),43674
2019-12-13,Southern Cross Station,23558
2019-12-13,QV Market-Peel St,3663
2019-12-13,Melbourne Central,33639
2019-12-13,Collins Place (North),11640
2019-12-13,Chinatown-Swanston St (North),15588
2019-12-13,Bourke Street Mall (North),42443
2019-12-12,Collins Place (North),11972
2019-12-12,Bourke Street Mall (North),39209
2019-12-12,Chinatown-Swanston St (North),14249
2019-12-12,Spencer St-Collins St (North),42639
2019-12-12,Melbourne Central,29445
2019-12-12,QV Market-Peel St,3647
2019-12-12,Southern Cross Station,26235
2019-12-11,Collins Place (North),12136
2019-12-11,Bourke Street Mall (North),35497
2019-12-11,Chinatown-Swanston St (North),13395
2019-12-11,Southern Cross Station,26155
2019-12-11,Melbourne Central,28141
2019-12-11,Spencer St-Collins St (North),42857
2019-12-11,QV Market-Peel St,3997
2019-12-10,Spencer St-Collins St (North),42166
2019-12-10,Southern Cross Station,24902
2019-12-10,QV Market-Peel St,3711
2019-12-10,Melbourne Central,26978
2019-12-10,Collins Place (North),11886
2019-12-10,Chinatown-Swanston St (North),12548
2019-12-10,Bourke Street Mall (North),33264
2019-12-09,Collins Place (North),11795
2019-12-09,Bourke Street Mall (North),31285
2019-12-09,Chinatown-Swanston St (North),11605
2019-12-09,Spencer St-Collins St (North),40577
2019-12-09,Melbourne Central,24017
2019-12-09,QV Market-Peel St,2515
2019-12-09,Southern Cross Station,25191
2019-12-08,Collins Place (North),1863
2019-12-08,Bourke Street Mall (North),38848
2019-12-08,Chinatown-Swanston St (North),15174
2019-12-08,Spencer St-Collins St (North),17524
2019-12-08,Melbourne Central,28314
2019-12-08,QV Market-Peel St,4190
2019-12-08,Southern Cross Station,2084
2019-12-07,Spencer St-Collins St (North),21910
2019-12-07,Southern Cross Station,2910
2019-12-07,QV Market-Peel St,4452
2019-12-07,Melbourne Central,33066
2019-12-07,Collins Place (North),2714
2019-12-07,Chinatown-Swanston St (North),17019
2019-12-07,Bourke Street Mall (North),44247
2019-12-06,Bourke Street Mall (North),41835
2019-12-06,Collins Place (North),11546
2019-12-06,Chinatown-Swanston St (North),19102
2019-12-06,Southern Cross Station,25281
2019-12-06,Melbourne Central,33398
2019-12-06,Spencer St-Collins St (North),44608
2019-12-06,QV Market-Peel St,2297
2019-12-05,Spencer St-Collins St (North),44923
2019-12-05,Southern Cross Station,29205
2019-12-05,QV Market-Peel St,-24
2019-12-05,Melbourne Central,30068
2019-12-05,Collins Place (North),12601
2019-12-05,Chinatown-Swanston St (North),16072
2019-12-05,Bourke Street Mall (North),38457
2019-12-04,Collins Place (North),12472
2019-12-04,Bourke Street Mall (North),37142
2019-12-04,Chinatown-Swanston St (North),15282
2019-12-04,Spencer St-Collins St (North),43559
2019-12-04,Melbourne Central,28532
2019-12-04,QV Market-Peel St,-24
2019-12-04,Southern Cross Station,27073
2019-12-03,Collins Place (North),12547
2019-12-03,Bourke Street Mall (North),33281
2019-12-03,Chinatown-Swanston St (North),13807
2019-12-03,Spencer St-Collins St (North),44162
2019-12-03,Melbourne Central,26556
2019-12-03,QV Market-Peel St,-24
2019-12-03,Southern Cross Station,27745
2019-12-02,Spencer St-Collins St (North),40470
2019-12-02,Southern Cross Station,25373
2019-12-02,QV Market-Peel St,-24
2019-12-02,Melbourne Central,25186
2019-12-02,Collins Place (North),11529
2019-12-02,Chinatown-Swanston St (North),13552
2019-12-02,Bourke Street Mall (North),30702
2019-12-01,Bourke Street Mall (North),31232
2019-12-01,Chinatown-Swanston St (North),13236
2019-12-01,Collins Place (North),1916
2019-12-01,Melbourne Central,24416
2019-12-01,QV Market-Peel St,-24
2019-12-01,Spencer St-Collins St (North),18993
2019-12-01,Southern Cross Station,1933
2019-11-30,Spencer St-Collins St (North),32867
2019-11-30,Southern Cross Station,3528
2019-11-30,QV Market-Peel St,-24
2019-11-30,Melbourne Central,34238
2019-11-30,Collins Place (North),3301
2019-11-30,Chinatown-Swanston St (North),17007
2019-11-30,Bourke Street Mall (North),40546
2019-11-29,Melbourne Central,40282
2019-11-29,Chinatown-Swanston St (North),20610
2019-11-29,Collins Place (North),11502
2019-11-29,Bourke Street Mall (North),48043
2019-11-29,QV Market-Peel St,-24
2019-11-29,Spencer St-Collins St (North),52496
2019-11-29,Southern Cross Station,26804
2019-11-28,Melbourne Central,32186
2019-11-28,Chinatown-Swanston St (North),16257
2019-11-28,Collins Place (North),13284
2019-11-28,Bourke Street Mall (North),36557
2019-11-28,QV Market-Peel St,3507
2019-11-28,Southern Cross Station,28586
2019-11-28,Spencer St-Collins St (North),49216
2019-11-27,Spencer St-Collins St (North),47535
2019-11-27,Southern Cross Station,26408
2019-11-27,QV Market-Peel St,4475
2019-11-27,Melbourne Central,30340
2019-11-27,Collins Place (North),12373
2019-11-27,Chinatown-Swanston St (North),15558
2019-11-27,Bourke Street Mall (North),38417
2019-11-26,Chinatown-Swanston St (North),11676
2019-11-26,Collins Place (North),12395
2019-11-26,Melbourne Central,26765
2019-11-26,QV Market-Peel St,3749
2019-11-26,Southern Cross Station,27955
2019-11-26,Spencer St-Collins St (North),39948
2019-11-26,Bourke Street Mall (North),30691
2019-11-25,Southern Cross Station,27840
2019-11-25,QV Market-Peel St,2814
2019-11-25,Melbourne Central,28463
2019-11-25,Collins Place (North),12551
2019-11-25,Chinatown-Swanston St (North),14318
2019-11-25,Bourke Street Mall (North),33402
2019-11-25,Spencer St-Collins St (North),41945
2019-11-24,Spencer St-Collins St (North),16223
2019-11-24,Southern Cross Station,2087
2019-11-24,QV Market-Peel St,4379
2019-11-24,Melbourne Central,29033
2019-11-24,Collins Place (North),1868
2019-11-24,Chinatown-Swanston St (North),14491
2019-11-24,Bourke Street Mall (North),35193
2019-11-23,Melbourne Central,34106
2019-11-23,Collins Place (North),3207
2019-11-23,Bourke Street Mall (North),39256
2019-11-23,Chinatown-Swanston St (North),16051
2019-11-23,Spencer St-Collins St (North),20292
2019-11-23,QV Market-Peel St,4426
2019-11-23,Southern Cross Station,2642
2019-11-22,Bourke Street Mall (North),43171
2019-11-22,Melbourne Central,36180
2019-11-22,Chinatown-Swanston St (North),16668
2019-11-22,Collins Place (North),11115
2019-11-22,Spencer St-Collins St (North),44665
2019-11-22,QV Market-Peel St,3714
2019-11-22,Southern Cross Station,23588
2019-11-21,Chinatown-Swanston St (North),15847
2019-11-21,QV Market-Peel St,3015
2019-11-21,Collins Place (North),11822
2019-11-21,Melbourne Central,27661
2019-11-21,Bourke Street Mall (North),29536
2019-11-21,Southern Cross Station,22397
2019-11-21,Spencer St-Collins St (North),39851
2019-11-20,Melbourne Central,32473
2019-11-20,Bourke Street Mall (North),38097
2019-11-20,Chinatown-Swanston St (North),16802
2019-11-20,Collins Place (North),12109
2019-11-20,Southern Cross Station,26073
2019-11-20,QV Market-Peel St,4133
2019-11-20,Spencer St-Collins St (North),43823
2019-11-19,Spencer St-Collins St (North),42234
2019-11-19,Southern Cross Station,27275
2019-11-19,QV Market-Peel St,3526
2019-11-19,Melbourne Central,29824
2019-11-19,Collins Place (North),11970
2019-11-19,Chinatown-Swanston St (North),15206
2019-11-19,Bourke Street Mall (North),36358
2019-11-18,Melbourne Central,28353
2019-11-18,Bourke Street Mall (North),35616
2019-11-18,Chinatown-Swanston St (North),15042
2019-11-18,Collins Place (North),12036
2019-11-18,QV Market-Peel St,2756
2019-11-18,Southern Cross Station,25942
2019-11-18,Spencer St-Collins St (North),40967
2019-11-17,Spencer St-Collins St (North),16485
2019-11-17,Southern Cross Station,1871
2019-11-17,QV Market-Peel St,4273
2019-11-17,Melbourne Central,26566
2019-11-17,Collins Place (North),2020
2019-11-17,Chinatown-Swanston St (North),13944
2019-11-17,Bourke Street Mall (North),31743
2019-11-16,Collins Place (North),2952
2019-11-16,Southern Cross Station,2627
2019-11-16,QV Market-Peel St,4579
2019-11-16,Melbourne Central,34493
2019-11-16,Spencer St-Collins St (North),20268
2019-11-16,Bourke Street Mall (North),37963
2019-11-16,Chinatown-Swanston St (North),17827
2019-11-15,Southern Cross Station,27540
2019-11-15,Spencer St-Collins St (North),47853
