StationId,Latitude,Longitude,ElevationMs,StationName,Year,Month,Day,YearTo,MonthTo,DayTo,Value
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,1,1,2014,2,1,2.4
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,1,1,2014,1,1,5.7
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,2,1,2014,2,8,4.5
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,3,1,2014,3,1,3.4
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,4,1,2014,4,0,1.9
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,5,1,2014,5,1,2.6
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,6,1,2014,6,0,0.8
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,7,1,2014,7,1,1.8
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,8,1,2014,8,1,0.5
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,9,1,2014,9,0,0.4
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,0,1,2014,0,1,1.0
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,1,1,2014,1,0,2.3
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,2,1,2014,2,1,4.3
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2015,1,1,2015,1,1,5.1
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2015,2,1,2015,2,8,3.0
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2015,3,1,2015,3,1,4.1
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2015,4,1,2015,4,0,2.7
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,3,1,2014,5,1,2.6
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,6,1,2014,8,1,1.0
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,9,1,2014,1,0,1.2
003003,-17.95,122.23,9999.9,BROOME AIRPORT,2014,2,1,2015,2,8,4.1
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,1,1,2014,2,1,2.3
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,1,1,2014,1,1,4.7
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,2,1,2014,2,8,3.6
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,3,1,2014,3,1,2.6
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,4,1,2014,4,0,2.3
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,5,1,2014,5,1,3.7
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,6,1,2014,6,0,2.6
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,7,1,2014,7,1,2.0
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,8,1,2014,8,1,0.5
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,9,1,2014,9,0,0.6
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,0,1,2014,0,1,1.2
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,1,1,2014,1,0,1.7
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,2,1,2014,2,1,2.0
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2015,1,1,2015,1,1,3.4
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2015,2,1,2015,2,8,3.3
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2015,3,1,2015,3,1,3.5
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2015,4,1,2015,4,0,5.6
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,3,1,2014,5,1,2.9
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,6,1,2014,8,1,1.7
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,9,1,2014,1,0,1.2
004032,-20.37,118.63,9999.9,PORT HEDLAND AIRPORT,2014,2,1,2015,2,8,2.9
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,1,1,2014,2,1,1.9
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,1,1,2014,1,1,3.9
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,2,1,2014,2,8,2.3
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,3,1,2014,3,1,2.8
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,4,1,2014,4,0,2.1
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,5,1,2014,5,1,3.5
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,6,1,2014,6,0,1.9
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,7,1,2014,7,1,1.4
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,8,1,2014,8,1,0.5
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,9,1,2014,9,0,0.3
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,0,1,2014,0,1,0.7
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,1,1,2014,1,0,1.7
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,2,1,2014,2,1,1.4
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,3,1,2014,5,1,2.8
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,6,1,2014,8,1,1.3
004035,-20.78,117.15,9999.9,ROEBOURNE,2014,9,1,2014,1,0,0.9
005007,-22.24,114.1,9999.9,LEARMONTH AP,2014,1,1,2014,2,1,2.4
005007,-22.24,114.1,9999.9,LEARMONTH AP,2014,1,1,2014,1,1,4.3
005007,-22.24,114.1,9999.9,LEARMONTH AP,2014,2,1,2014,2,8,2.7
005007,-22.24,114.1,9999.9,LEARMONTH AP,2014,3,1,2014,3,1,3.7
005007,-22.24,114.1,9999.9,LEARMONTH AP,2014,4,1,2014,4,0,3.9
