stn_num,stn_name,lat,lon,elevation,start,sitesDB_name
1019,Kalumburu,-14.3,126.65,23,1941,KALUMBURU
2079,Halls Creek,-18.23,127.67,409,1910,HALLS CREEK
3003,Broome,-17.95,122.24,7,1910,BROOME
4032,Port Hedland,-20.37,118.63,6,1912,PORT HEDLAND
4106,Marble Bar,-21.18,119.75,182,1910,MARBLE BAR
5007,Learmonth,-22.24,114.1,5,1975,LEARMONTH
5098,Karijini North (Wittenoom),-22.3,118.45,474,1951,WITTENOOM
6011,Carnarvon,-24.89,113.67,4,1910,CARNARVON
7045,Meekatharra,-26.61,118.54,517,1926,MEEKATHARRA
8296,Morawa,-29.2,116.02,271,1925,MORAWA
8297,Dalwallinu,-30.28,116.67,325,1955,DALWALLINU
8315,Geraldton,-28.8,114.7,30,1910,GERALDTON
9021,Perth Airport,-31.93,115.98,15,1910,PERTH AIRPORT
9518,Cape Leeuwin,-34.37,115.14,13,1910,AUGUSTA
9617,Bridgetown,-33.95,116.13,179,1910,BRIDGETOWN
9789,Esperance,-33.83,121.89,25,1910,ESPERANCE
9999,Albany,-34.94,117.82,68,1910,ALBANY
10092,Merredin,-31.48,118.28,315,1912,MERREDIN
10286,Cunderdin,-31.62,117.22,217,1950,CUNDERDIN
10916,Katanning,-33.69,117.61,320,1910,KATANNING
10917,Wandering,-32.67,116.67,275,1910,WANDERING
11003,Eucla,-31.68,128.9,93,1913,EUCLA
11052,Forrest,-30.85,128.11,159,1946,FORREST
12038,Kalgoorlie-Boulder,-30.78,121.45,365,1910,KALGOORLIE
13017,Giles,-25.03,128.3,598,1956,WARAKURNA
14015,Darwin,-12.42,130.89,30,1910,DARWIN
14825,Victoria River Downs,-16.4,131.01,89,1965,VICTORIA NORTH
15135,Tennant Creek,-19.64,134.18,376,1910,BARKLY SOUTH
15590,Alice Springs,-23.8,133.89,546,1910,ALICE SPRINGS
15666,Rabbit Flat,-20.18,130.01,340,1969,TANAMI
16001,Woomera,-31.16,136.81,167,1949,WOOMERA
16098,Tarcoola,-30.71,134.58,123,1921,TARCOOLA
17043,Oodnadatta,-27.56,135.45,117,1940,OODNADATTA
17126,Marree,-29.66,138.07,50,1910,MARREE
18012,Ceduna,-32.13,133.7,15,1939,CEDUNA
18044,Kyancutta,-33.13,135.55,59,1930,KYANCUTTA
18192,Port Lincoln,-34.6,135.88,9,1910,NORTH SHIELDS
21133,Snowtown,-33.77,138.22,109,1910,SNOWTOWN
22823,Cape Borda,-35.75,136.6,158,1957,CAPE BORDA
23000,Adelaide,-34.93,138.58,29,1910,ADELAIDE
23373,Nuriootpa,-34.48,139.01,275,1957,NURIOOTPA
26021,Mount Gambier,-37.75,140.77,63,1910,MOUNT GAMBIER
26026,Robe,-37.16,139.76,3,1910,ROBE
27045,Weipa,-12.68,141.92,18,1959,WEIPA
27058,Horn Island,-10.58,142.29,4,1950,HORN ISLAND
28004,Palmerville,-16,144.08,204,1910,PALMERVILLE
29063,Normanton,-17.69,141.07,18,1910,NORMANTON
29077,Burketown,-17.75,139.54,6,1910,BURKETOWN
30124,Georgetown,-18.3,143.53,302,1910,GEORGETOWN
30161,Richmond (Qld),-20.7,143.11,206,1910,RICHMOND
31011,Cairns,-16.87,145.75,2,1910,CAIRNS
32040,Townsville,-19.25,146.77,4,1940,TOWNSVILLE
33119,Mackay,-21.12,149.22,30,1910,MACKAY
34084,Charters Towers,-20.05,146.27,290,1910,CHARTERS TOWERS
36007,Barcaldine,-23.55,145.29,267,1962,BARCALDINE
36031,Longreach,-23.44,144.28,192,1910,LONGREACH
37010,Camooweal,-19.92,138.12,231,1939,CAMOOWEAL
38003,Boulia,-22.91,139.9,162,1910,BOULIA
38026,Birdsville,-25.9,139.35,47,1954,BIRDSVILLE
39066,Gayndah,-25.62,151.62,111,1910,GAYNDAH
39083,Rockhampton,-23.38,150.48,10,1939,ROCKHAMPTON
39128,Bundaberg,-24.91,152.32,31,1910,BUNDABERG
40004,Amberley,-27.63,152.71,24,1941,AMBERLEY
40043,Cape Moreton,-27.03,153.47,100,1910,CAPE MORETON
40842,Brisbane Airport,-27.39,153.13,5,1949,BRISBANE
42112,Miles,-26.66,150.18,305,1910,MILES
43109,St George,-28.05,148.6,199,1913,ST GEORGE
44021,Charleville,-26.41,146.26,302,1910,CHARLEVILLE
45025,Thargomindah,-27.99,143.82,131,1957,THARGOMINDAH
46012,Wilcannia,-31.52,143.39,94,1957,WILCANNIA
