,date,total_people
23,2021-11-24,286221
24,2021-11-25,287160
25,2021-11-26,394878
26,2021-11-27,493321
27,2021-11-28,368545
28,2021-11-29,288175
29,2021-11-30,287471
0,2021-10-01,14630
1,2021-10-02,17507
2,2021-10-03,16112
3,2021-10-04,13226
4,2021-10-05,14776
5,2021-10-06,16978
6,2021-10-07,15314
7,2021-10-08,17561
8,2021-10-09,18302
9,2021-10-10,18333
10,2021-10-11,13352
11,2021-10-12,17171
12,2021-10-13,14650
13,2021-10-14,16249
14,2021-10-15,10309
15,2021-10-16,14380
16,2021-10-17,20100
17,2021-10-18,13756
18,2021-10-19,16243
19,2021-10-20,20155
20,2021-10-21,17473
21,2021-10-22,29631
22,2021-10-23,25948
23,2021-10-24,29858
24,2021-10-25,20222
25,2021-10-26,24059
26,2021-10-27,27145
27,2021-10-28,18424
28,2021-10-29,23025
29,2021-10-30,35560
30,2021-10-31,42729
0,2021-09-01,69723
1,2021-09-02,68374
2,2021-09-03,44650
3,2021-09-04,55432
4,2021-09-05,49771
5,2021-09-06,58770
6,2021-09-07,55025
7,2021-09-08,63812
8,2021-09-09,65979
9,2021-09-10,65341
10,2021-09-11,63073
11,2021-09-12,55544
12,2021-09-13,61267
13,2021-09-14,66557
14,2021-09-15,67337
15,2021-09-16,67560
16,2021-09-17,67711
17,2021-09-18,52187
18,2021-09-19,60060
19,2021-09-20,52560
20,2021-09-21,67593
21,2021-09-22,72071
22,2021-09-23,70591
23,2021-09-24,58075
24,2021-09-25,56212
25,2021-09-26,65565
26,2021-09-27,67351
27,2021-09-28,70695
28,2021-09-29,56693
29,2021-09-30,48772
0,2021-08-01,120597
1,2021-08-02,111492
2,2021-08-03,110561
3,2021-08-04,114446
4,2021-08-05,127664
5,2021-08-06,53458
6,2021-08-07,49058
7,2021-08-08,49295
8,2021-08-09,54309
9,2021-08-10,57684
10,2021-08-11,55399
11,2021-08-12,59857
12,2021-08-13,65407
13,2021-08-14,59482
14,2021-08-15,55032
15,2021-08-16,52595
16,2021-08-17,50790
17,2021-08-18,52962
18,2021-08-19,56315
19,2021-08-20,53164
20,2021-08-21,57221
21,2021-08-22,50580
22,2021-08-23,43461
23,2021-08-24,51172
24,2021-08-25,52161
25,2021-08-26,51520
26,2021-08-27,56397
27,2021-08-28,57402
28,2021-08-29,40167
29,2021-08-30,55518
30,2021-08-31,53446
0,2021-07-01,548766
1,2021-07-02,535812
2,2021-07-03,579196
3,2021-07-04,454924
4,2021-07-05,467501
5,2021-07-06,517908
6,2021-07-07,545835
7,2021-07-08,559751
8,2021-07-09,665736
9,2021-07-10,626250
10,2021-07-11,487400
11,2021-07-12,417238
12,2021-07-13,434748
13,2021-07-14,427993
14,2021-07-15,450133
15,2021-07-16,153873
16,2021-07-17,114937
17,2021-07-18,145048
18,2021-07-19,147649
19,2021-07-20,110157
20,2021-07-21,161338
21,2021-07-22,160265
22,2021-07-23,164414
23,2021-07-24,179451
24,2021-07-25,142662
25,2021-07-26,156749
26,2021-07-27,163409
27,2021-07-28,277925
28,2021-07-29,323787
29,2021-07-30,383044
30,2021-07-31,442730
0,2021-06-01,68436
1,2021-06-02,73580
2,2021-06-03,76076
3,2021-06-04,75212
4,2021-06-05,74837
5,2021-06-06,68431
6,2021-06-07,73271
7,2021-06-08,64328
8,2021-06-09,53109
9,2021-06-10,70495
10,2021-06-11,152498
11,2021-06-12,182888
12,2021-06-13,181070
13,2021-06-14,136185
14,2021-06-15,132918
15,2021-06-16,139752
16,2021-06-17,139129
17,2021-06-18,164643
18,2021-06-19,215314
19,2021-06-20,172600
20,2021-06-21,156560
21,2021-06-22,163861
22,2021-06-23,163654
23,2021-06-24,180643
24,2021-06-25,195308
25,2021-06-26,243149
26,2021-06-27,233771
27,2021-06-28,235550
28,2021-06-29,255634
29,2021-06-30,264769
0,2021-05-01,351792
1,2021-05-02,263069
2,2021-05-03,199613
3,2021-05-04,216252
4,2021-05-05,253474
5,2021-05-06,266418
6,2021-05-07,322403
7,2021-05-08,329662
8,2021-05-09,255850
9,2021-05-10,195784
10,2021-05-11,211878
11,2021-05-12,247228
12,2021-05-13,226007
13,2021-05-14,292871
14,2021-05-15,317155
15,2021-05-16,240967
16,2021-05-17,214790
17,2021-05-18,235748
18,2021-05-19,252342
19,2021-05-20,249468
20,2021-05-21,329858
21,2021-05-22,372196
22,2021-05-23,273297
23,2021-05-24,217572
24,2021-05-25,197937
25,2021-05-26,184518
26,2021-05-27,166024
27,2021-05-28,64515
28,2021-05-29,65141
29,2021-05-30,69564
30,2021-05-31,68355
0,2021-04-01,409485
1,2021-04-02,351407
2,2021-04-03,464813
3,2021-04-04,410828
4,2021-04-05,344640
5,2021-04-06,381638
6,2021-04-07,403322
7,2021-04-08,414996
8,2021-04-09,453178
9,2021-04-10,434482
10,2021-04-11,298437
11,2021-04-12,353102
12,2021-04-13,399870
13,2021-04-14,421300
14,2021-04-15,444188
15,2021-04-16,515093
16,2021-04-17,512343
17,2021-04-18,371045
18,2021-04-19,305507
19,2021-04-20,266241
20,2021-04-21,345711
21,2021-04-22,354084
22,2021-04-23,413982
23,2021-04-24,409052
24,2021-04-25,348318
25,2021-04-26,303122
26,2021-04-27,325551
27,2021-04-28,356416
28,2021-04-29,366029
29,2021-04-30,434911
0,2021-03-01,238362
1,2021-03-02,246913
2,2021-03-03,266300
3,2021-03-04,277092
4,2021-03-05,328516
5,2021-03-06,411552
6,2021-03-07,390415
7,2021-03-08,240541
8,2021-03-09,254976
9,2021-03-10,284918
10,2021-03-11,290041
11,2021-03-12,346199
12,2021-03-13,270362
13,2021-03-14,288324
14,2021-03-15,269703
15,2021-03-16,277140
16,2021-03-17,296385
17,2021-03-18,311201
18,2021-03-19,374546
19,2021-03-20,387758
20,2021-03-21,240108
21,2021-03-22,243385
22,2021-03-23,275653
23,2021-03-24,283660
24,2021-03-25,315652
25,2021-03-26,382212
26,2021-03-27,376524
27,2021-03-28,307169
28,2021-03-29,266985
29,2021-03-30,313894
30,2021-03-31,324658
0,2021-02-01,223984
1,2021-02-02,235213
2,2021-02-03,263763
3,2021-02-04,245309
4,2021-02-05,241930
5,2021-02-06,317734
6,2021-02-07,239602
7,2021-02-08,221318
8,2021-02-09,250571
9,2021-02-10,253091
10,2021-02-11,242485
11,2021-02-12,279556
12,2021-02-13,71929
13,2021-02-14,76349
14,2021-02-15,79501
15,2021-02-16,80085
16,2021-02-17,81307
17,2021-02-18,211499
18,2021-02-19,251242
19,2021-02-20,299777
20,2021-02-21,242014
21,2021-02-22,212009
22,2021-02-23,231357
23,2021-02-24,246545
24,2021-02-25,253982
25,2021-02-26,296123
26,2021-02-27,316622
27,2021-02-28,264096
0,2021-01-01,272759
1,2021-01-02,246443
2,2021-01-03,218676
3,2021-01-04,195985
4,2021-01-05,217111
5,2021-01-06,243480
6,2021-01-07,262296
7,2021-01-08,284962
8,2021-01-09,287993
9,2021-01-10,223058
10,2021-01-11,186014
11,2021-01-12,252544
12,2021-01-13,247031
13,2021-01-14,276713
14,2021-01-15,281387
15,2021-01-16,327661
16,2021-01-17,297882
17,2021-01-18,264004
18,2021-01-19,285983
19,2021-01-20,312554
20,2021-01-21,295085
21,2021-01-22,345932
22,2021-01-23,348940
23,2021-01-24,249646
24,2021-01-25,230713
25,2021-01-26,278846
26,2021-01-27,303218
27,2021-01-28,284213
28,2021-01-29,254290
29,2021-01-30,349598
30,2021-01-31,296213
