,Product code,Bureau of Meteorology station number,Year,Month,Day,max_temp,Days of accumulation of maximum temperature,Quality,date
3002,IDCJAC0010,86338,2021,3,22,24.2,1.0,Y,2021-03-22
3003,IDCJAC0010,86338,2021,3,23,22.0,1.0,Y,2021-03-23
3004,IDCJAC0010,86338,2021,3,24,20.3,1.0,Y,2021-03-24
3005,IDCJAC0010,86338,2021,3,25,21.1,1.0,Y,2021-03-25
3006,IDCJAC0010,86338,2021,3,26,22.0,1.0,Y,2021-03-26
3007,IDCJAC0010,86338,2021,3,27,21.3,1.0,Y,2021-03-27
3008,IDCJAC0010,86338,2021,3,28,20.2,1.0,Y,2021-03-28
3009,IDCJAC0010,86338,2021,3,29,18.2,1.0,Y,2021-03-29
3010,IDCJAC0010,86338,2021,3,30,18.9,1.0,Y,2021-03-30
3011,IDCJAC0010,86338,2021,3,31,22.8,1.0,Y,2021-03-31
3012,IDCJAC0010,86338,2021,4,1,29.9,1.0,Y,2021-04-01
3013,IDCJAC0010,86338,2021,4,2,30.6,1.0,Y,2021-04-02
3014,IDCJAC0010,86338,2021,4,3,31.6,1.0,Y,2021-04-03
3015,IDCJAC0010,86338,2021,4,4,24.5,1.0,Y,2021-04-04
3016,IDCJAC0010,86338,2021,4,5,19.0,1.0,Y,2021-04-05
3017,IDCJAC0010,86338,2021,4,6,20.2,1.0,Y,2021-04-06
3018,IDCJAC0010,86338,2021,4,7,23.0,1.0,Y,2021-04-07
3019,IDCJAC0010,86338,2021,4,8,29.3,1.0,Y,2021-04-08
3020,IDCJAC0010,86338,2021,4,9,17.3,1.0,Y,2021-04-09
3021,IDCJAC0010,86338,2021,4,10,18.3,1.0,Y,2021-04-10
3022,IDCJAC0010,86338,2021,4,11,14.5,1.0,Y,2021-04-11
3023,IDCJAC0010,86338,2021,4,12,16.8,1.0,Y,2021-04-12
3024,IDCJAC0010,86338,2021,4,13,20.0,1.0,Y,2021-04-13
3025,IDCJAC0010,86338,2021,4,14,20.8,1.0,Y,2021-04-14
3026,IDCJAC0010,86338,2021,4,15,20.2,1.0,Y,2021-04-15
3027,IDCJAC0010,86338,2021,4,16,15.1,1.0,Y,2021-04-16
3028,IDCJAC0010,86338,2021,4,17,17.7,1.0,Y,2021-04-17
3029,IDCJAC0010,86338,2021,4,18,18.8,1.0,Y,2021-04-18
3030,IDCJAC0010,86338,2021,4,19,20.6,1.0,Y,2021-04-19
3031,IDCJAC0010,86338,2021,4,20,18.7,1.0,Y,2021-04-20
3032,IDCJAC0010,86338,2021,4,21,14.9,1.0,Y,2021-04-21
3033,IDCJAC0010,86338,2021,4,22,17.0,1.0,Y,2021-04-22
3034,IDCJAC0010,86338,2021,4,23,17.3,1.0,Y,2021-04-23
3035,IDCJAC0010,86338,2021,4,24,18.3,1.0,Y,2021-04-24
3036,IDCJAC0010,86338,2021,4,25,17.8,1.0,Y,2021-04-25
3037,IDCJAC0010,86338,2021,4,26,17.9,1.0,Y,2021-04-26
3038,IDCJAC0010,86338,2021,4,27,16.6,1.0,Y,2021-04-27
3039,IDCJAC0010,86338,2021,4,28,16.9,1.0,Y,2021-04-28
3040,IDCJAC0010,86338,2021,4,29,18.4,1.0,Y,2021-04-29
3041,IDCJAC0010,86338,2021,4,30,24.4,1.0,Y,2021-04-30
3042,IDCJAC0010,86338,2021,5,1,24.6,1.0,Y,2021-05-01
3043,IDCJAC0010,86338,2021,5,2,26.0,1.0,Y,2021-05-02
3044,IDCJAC0010,86338,2021,5,3,18.2,1.0,Y,2021-05-03
3045,IDCJAC0010,86338,2021,5,4,15.5,1.0,Y,2021-05-04
3046,IDCJAC0010,86338,2021,5,5,17.3,1.0,Y,2021-05-05
3047,IDCJAC0010,86338,2021,5,6,22.2,1.0,Y,2021-05-06
3048,IDCJAC0010,86338,2021,5,7,21.5,1.0,Y,2021-05-07
3049,IDCJAC0010,86338,2021,5,8,19.8,1.0,Y,2021-05-08
3050,IDCJAC0010,86338,2021,5,9,20.5,1.0,Y,2021-05-09
3051,IDCJAC0010,86338,2021,5,10,16.9,1.0,Y,2021-05-10
3052,IDCJAC0010,86338,2021,5,11,16.3,1.0,Y,2021-05-11
3053,IDCJAC0010,86338,2021,5,12,18.5,1.0,Y,2021-05-12
3054,IDCJAC0010,86338,2021,5,13,17.6,1.0,Y,2021-05-13
